Passport,,,,,,,,,,,,,
,Number of Foreign Tourist Visits per Month by Passport (Visit),,,,,,,,,,,,
TOTAL EUROPE,153716,153007,168856,214879,192325,195583,297547,310493,236942,216379,152689,164535,2456951
United States of America,29445,27373,34064,35776,35012,42727,41198,34428,33392,33168,31008,34524,412115
Canada,9092,8550,9286,8725,8386,6334,7690,7117,7768,8304,7840,8466,97558
Brazilia,2241,1788,2406,3089,3178,3115,2920,3120,3320,3385,2441,3494,34497
Kolombia,1175,1120,1467,1426,1372,1152,1073,1106,1327,1542,1603,1682,16045
Argentina,1305,1076,1143,1210,1254,1015,924,958,1127,1297,1036,869,13214
Mexiko,876,993,1219,1734,1508,1354,1391,1121,1529,1709,1925,1366,16725
Chili,864,1178,964,963,1012,825,780,807,927,860,800,732,10712
Central America,130,120,139,251,169,175,125,177,184,209,216,200,2095
Costarika,53,59,57,71,63,61,47,80,60,66,92,72,781
Guatemala,27,30,32,107,42,56,25,34,51,59,54,66,583
Panama,16,12,13,25,23,14,21,22,31,36,25,21,259
Honduras,15,8,16,16,15,18,9,15,14,26,12,13,177
El Salvador,12,3,8,23,20,21,15,20,22,16,17,14,191
Nicaragua,2,3,7,6,4,2,4,5,3,3,15,13,67
Belize,5,5,6,3,2,3,4,1,3,3,1,1,37
South America,544,591,896,869,781,825,765,819,859,833,729,674,9185
Peru,218,225,301,302,282,323,333,343,380,366,305,281,3659
Venezuela,115,76,111,109,111,87,105,108,127,130,119,111,1309
Ekuador,88,159,146,160,160,133,124,140,154,159,167,156,1746
Uruguay,81,93,296,233,141,131,95,89,89,98,65,67,1478
Paraguay,15,16,7,17,18,48,14,35,20,20,19,12,241
Bolivia,18,15,20,19,30,25,26,19,27,21,26,22,268
Suriname,9,7,12,26,35,69,56,69,58,33,20,17,411
Guyana,0,0,3,3,4,9,12,16,4,6,8,8,73
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0
Other America,273,237,249,275,328,344,372,357,308,309,312,291,3655
UNO,107,104,65,83,106,107,64,85,77,108,118,59,1083
Kuba,42,15,21,20,37,27,40,18,29,14,14,55,332
Dominika,25,18,55,27,38,44,49,55,32,35,23,26,427
Trinidad & Tobago,10,17,16,34,58,26,65,49,31,36,41,30,413
St. Kitts & Nevis,16,12,17,15,24,44,50,46,10,24,38,27,323
Jamaika,23,16,21,19,10,18,22,26,43,43,20,27,288
Barbados,3,5,8,10,5,6,8,7,13,6,4,7,82
Grenadines (Grenada),7,4,7,4,3,9,11,4,9,5,2,6,71
St. Lucia,5,6,4,7,14,11,14,5,6,7,13,8,100
Antigua & Barbuda,8,5,6,14,9,22,16,18,10,8,11,18,145
Bahama Islands,8,11,7,15,2,10,6,4,19,7,7,11,107
Haiti,7,11,7,4,2,4,7,8,3,5,4,3,65
Dominika Rep.,12,11,15,20,19,16,18,31,23,10,15,14,204
St. Vincent,0,2,0,3,1,0,2,0,0,1,2,0,11
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,1,0,0,0,0,1
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0
Puertorico,0,0,0,0,0,0,0,0,3,0,0,0,3
St. Christopher,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadelope,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AMERICA,45945,43026,51833,54318,53000,57866,57238,50010,50741,51616,47910,52298,615801
Australia,145563,105389,111032,149694,147650,154220,173241,155728,163526,158665,135215,154868,1754791
Papua New Guinea,14420,12563,7578,11043,10655,12163,13502,13157,14430,13007,13175,20445,156138
New Zealand,10250,8657,10369,14955,16199,20743,19368,19930,19362,15929,12295,13024,181081
Other Oceania,171,149,140,208,238,157,117,157,197,312,346,238,2430
Fiji Islands,100,100,95,132,186,104,81,116,142,198,212,164,1630
Vanuatu,16,18,14,30,10,11,10,11,17,43,27,34,241
Tonga,9,5,3,8,7,13,8,6,11,13,26,7,116
Solomon Islands,10,11,17,19,13,12,11,14,18,31,25,19,200
Samoa,2,8,3,11,14,9,4,3,3,13,22,10,102
Nauru,33,0,0,1,1,1,0,1,0,2,5,0,44
Palau Rep.,1,1,1,2,3,0,1,1,3,5,10,2,30
Cooks Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaledonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Karibati (Kiribati),0,1,1,2,1,3,1,5,1,3,10,0,28
Marshall Islands,0,1,3,1,0,1,0,0,1,0,1,1,9
Micronesia Rep.,0,0,1,2,2,2,0,0,0,1,0,1,9
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0
Polynesia,0,0,0,0,0,0,1,0,0,0,0,0,1
Samoa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,4,2,0,1,1,0,0,1,3,8,0,20
Walis & Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL OCEANIA,170404,126758,129119,175900,174742,187283,206228,188972,197515,187913,161031,188575,2094440
South Africa,2101,1455,2033,3209,2472,3757,3588,2285,3426,3327,2487,6408,36548
Maroko,749,582,317,1206,1384,1468,2249,3677,2145,1423,1180,1002,17382
Other Africa,2235,2218,1675,3215,3749,3725,6220,6729,6027,5020,4296,4485,49594
Kenya,268,366,337,540,497,515,583,543,463,572,588,826,6098
Tunisia,365,354,168,809,919,801,1824,1764,1738,1235,757,482,11216
Aljazair / Algeria,232,171,56,294,409,444,768,2019,1444,710,517,389,7453
Mauritius,139,168,184,271,250,228,236,288,306,220,477,566,3333
Tanzania,108,116,86,99,137,153,174,156,139,163,210,250,1791
Libya,142,91,21,128,167,154,210,279,289,199,202,203,2085
Nigeria,103,162,150,137,251,228,254,193,233,359,189,183,2442
Mozambik,50,37,27,52,56,72,147,56,57,78,65,194,891
Zimbabwe,81,88,93,137,95,121,141,146,162,192,113,296,1665
Sudan,186,132,71,166,153,279,373,348,255,245,207,145,2560
Somalia,33,9,11,12,24,12,33,24,39,71,65,112,445
Ghana,54,56,62,54,99,55,89,99,112,116,104,111,1011
Kamerun,41,25,29,56,51,49,66,79,47,144,75,44,706
Uganda,38,65,24,27,70,65,102,52,69,79,65,86,742
Malagasy (Madagascar),21,24,30,27,32,34,36,41,41,48,30,32,396
Ethiopia,24,30,23,37,52,46,116,92,64,45,85,58,672
Congo Rep. Dem.,23,31,11,21,70,35,73,32,98,26,36,22,478
Seychelles,37,21,47,28,25,28,21,28,12,15,32,46,340
Burkina Faso,15,14,5,11,47,6,13,24,23,26,19,18,221
Rwanda,17,15,10,20,26,19,25,29,29,34,24,48,296
Zambia,36,25,17,45,28,18,34,26,34,40,36,42,381
Malawi,7,7,13,2,9,11,23,6,20,8,19,15,140
Senegal,34,29,9,26,31,19,45,29,28,50,33,14,347
Comoros,12,5,9,22,10,38,20,16,13,30,22,15,212
Mali,14,18,6,2,15,9,13,55,9,20,39,9,209
Eritrea,8,1,4,7,7,11,18,18,18,21,12,14,139
Chad,9,6,5,6,20,12,14,21,14,12,13,16,148
Sierra Leona,9,10,9,8,24,14,17,12,18,26,23,11,181
Namibia,16,8,18,16,35,50,25,15,43,48,22,36,332
Gambia,6,4,2,4,2,5,7,12,6,8,17,4,77
Bostwana,15,30,11,38,15,14,13,19,31,17,16,43,262
Liberia,3,3,12,8,7,3,15,11,10,12,13,16,113
Swaziland,5,1,5,3,5,5,91,5,10,9,6,3,148
Guinea,14,13,10,8,10,14,7,17,19,13,15,6,146
Cape Verde,4,4,10,9,4,4,171,6,10,5,3,8,238
Ivory Coast (Pantai Gading),18,19,12,19,38,18,27,53,41,35,38,31,349
Congo,5,8,4,3,5,12,15,23,12,7,7,18,119
Burundi,5,0,5,2,5,1,4,8,8,7,7,14,66
Mauritania,3,8,6,7,10,15,7,14,6,6,19,10,111
Togo,3,7,1,8,5,9,2,4,9,12,17,4,81
Gabon,8,3,2,4,4,3,7,3,5,6,0,4,49
Lesotho,2,0,2,4,3,21,5,3,5,8,5,2,60
South Sudan,1,3,7,6,2,1,8,3,4,3,5,0,43
Niger,3,4,0,5,3,8,6,3,4,4,8,5,53
Djibouti,3,3,3,1,1,14,17,5,5,5,5,12,74
Guinea Equator,1,1,2,0,0,0,6,3,2,4,2,2,23
Afrika Tengah Rep.,1,2,0,0,0,4,1,4,1,1,3,0,17
Angola,10,13,27,17,11,20,243,12,14,12,18,10,407
Benin,0,5,2,7,8,19,8,31,7,7,11,7,112
Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome & Principe,0,0,7,0,1,7,64,0,0,1,0,0,80
Zaire,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkinabe,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabinda,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea Bissau,3,3,10,2,1,2,3,0,1,6,2,3,36
Maseru,0,0,0,0,0,0,0,0,0,0,0,0,0
Zomba,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AFRICA,5085,4255,4025,7630,7605,8950,12057,12691,11598,9770,7963,11895,103524
GRAND TOTAL,1156012,1022894,984769,1164539,1306000,1417096,1481346,1505220,1394910,1348993,1199007,1405860,15386646
