traveler_id,name,base_city,home_airport,trip_count,distinct_destinations,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,entropy_norm_global,region_entropy_norm_global,loyalist_carrier,first_class_share
atlas,Atlas,San Jose,SJC,24,6,False,0.1734,0.2362,0.699,0.216,0.0,0.3333,0.0,0.3351,0.2059,,0.0
ella-fitzgerald,Ella Fitzgerald,Cincinnati,CVG,24,1,True,0.0,0.653,0.7483,0.1487,0.3333,1.0,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
galileo-galilei,Galileo Galilei,Washington,DCA,24,1,True,0.0,0.653,0.727,0.1487,0.3333,1.0,0.0,0.0,0.0,American Airlines Inc.,0.0
king-midas,King Midas,Charlotte,CLT,24,6,False,0.2836,0.6186,0.7515,0.2107,0.0,0.3333,0.0,0.3351,0.402,,0.0
medusa,Medusa,San Antonio,SAT,24,6,False,0.2008,0.3283,0.7494,0.2799,0.0,0.3333,0.0,0.3351,0.2242,,0.0
miles-davis,Miles Davis,Boston,BOS,24,12,False,0.6094,0.764,0.732,0.2791,0.0,0.0833,0.0,0.4647,0.3364,Delta Air Lines Inc.,0.0
miss-gage,Miss Gage,Kansas City,MCI,24,3,False,0.0,0.2833,0.753,0.2178,0.0,0.6667,0.0,0.2055,0.2059,Southwest Airlines Co.,0.0
mr-meyers,Mr. Meyers,Nashville,BNA,24,1,True,,,,,0.3333,0.0,0.0,0.0,0.0,Southwest Airlines Co.,0.0
persephone,Persephone,Phoenix,PHX,24,6,False,0.1835,0.4125,0.6997,0.2248,0.0,0.25,0.0,0.3351,0.2059,,0.0
perseus,Perseus,Jacksonville,JAX,24,6,False,0.1245,0.7182,0.7455,0.0981,0.0,0.3333,0.1667,0.3351,0.0,,0.0
pierre-auguste-renoir,Pierre-Auguste Renoir,San Francisco,SFO,24,1,True,0.0,0.612,0.7987,0.2009,0.3333,0.3333,0.0,0.0,0.0,United Air Lines Inc.,0.0
ares,Ares,San Antonio,SAT,21,6,False,0.196,0.4608,0.777,0.2437,0.0,0.1429,0.0,0.3332,0.2239,,0.0
dionysus,Dionysus,Austin,AUS,21,6,False,0.3309,0.6938,0.7389,0.1598,0.0,0.1905,0.0,0.3332,0.4086,,0.0
mrs-meyers,Mrs. Meyers,St. Louis,STL,21,3,False,0.0963,0.312,0.7487,0.2097,0.0,0.6667,0.0,0.2055,0.2059,Southwest Airlines Co.,0.0
narcissus,Narcissus,New York City,EWR,21,6,False,0.1651,0.5849,0.7011,0.2345,0.0,0.3333,0.0,0.3332,0.4086,,0.0
richard-feynman,Richard Feynman,Charlotte,CLT,21,3,False,0.2237,0.4567,0.7617,0.2365,0.0,0.0,0.0,0.2055,0.2059,American Airlines Inc.,0.0
albert-einstein,Albert Einstein,Dallas,DFW,20,1,True,0.671,0.954,0.7565,0.1327,0.0,0.0,0.0,0.0,0.0,American Airlines Inc.,0.0
bill-gorton,Bill Gorton,New York City,LGA,20,3,False,0.0,0.0435,0.6506,0.21,0.5,0.0,0.0,0.1944,0.0,Delta Air Lines Inc.,0.0
brett-ashley,Brett Ashley,New York City,JFK,20,3,False,0.0,0.274,0.738,0.2886,0.5,0.5,0.0,0.1944,0.0,Delta Air Lines Inc.,0.0
catherine-barkley,Catherine Barkley,Seattle,SEA,20,3,False,0.0,0.0,0.671,0.3288,0.5,0.0,0.0,0.1944,0.0,Alaska Airlines Inc.,0.0
dr-valentini,Dr. Valentini,Houston,HOU,20,1,True,0.0,0.283,0.715,0.3101,0.0,1.0,0.0,0.0,0.0,Southwest Airlines Co.,0.0
dr-varella,Dr. Varella,Chicago,MDW,20,1,True,0.0,0.567,0.7486,0.1902,0.5,1.0,0.0,0.0,0.0,Southwest Airlines Co.,0.0
frederic-henry,Frederic Henry,Chicago,ORD,20,2,False,0.0,0.741,0.6518,0.1144,0.5,0.0,0.0,0.1296,0.0,United Air Lines Inc.,0.0
helen-ferguson,Helen Ferguson,Detroit,DTW,20,2,False,0.0,0.496,0.7071,0.2448,0.5,0.0,0.0,0.1296,0.0,Delta Air Lines Inc.,0.0
isaac-newton,Isaac Newton,Chicago,ORD,20,1,True,0.0,0.591,0.7137,0.1555,1.0,0.0,1.0,0.0,0.0,American Airlines Inc.,0.0
jake-barnes,Jake Barnes,Kansas City,MCI,20,3,False,0.1445,0.6512,0.6669,0.1118,0.5,0.0,0.25,0.1944,0.0,,0.0
joaquin-sorolla,Joaquín Sorolla,New York City,EWR,20,11,False,0.3321,0.6844,0.7492,0.2373,0.5,0.35,0.0,0.3449,0.3052,United Air Lines Inc.,0.0
krebs,Krebs,Oklahoma City,OKC,20,3,False,0.1927,0.6857,0.6659,0.0851,0.5,0.0,0.0,0.1944,0.0,,0.0
louis-pasteur,Louis Pasteur,Philadelphia,PHL,20,1,True,,,,,0.5,0.0,0.0,0.0,0.0,American Airlines Inc.,0.0
manuel-garcia,Manuel Garcia,Los Angeles,LAX,20,3,False,0.0,0.153,0.8163,0.2649,0.5,0.25,0.0,0.1944,0.0,American Airlines Inc.,0.0
mike-campbell,Mike Campbell,Boston,BOS,20,3,False,0.0,0.2715,0.6912,0.2298,0.5,0.25,0.0,0.1944,0.0,American Airlines Inc.,0.0
mr-turner,Mr. Turner,Seattle,SEA,20,1,True,,,,,0.5,0.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
ole-andreson,Ole Andreson,Chicago,ORD,20,3,False,0.0723,0.0,0.6611,0.2316,0.5,0.0,0.0,0.1944,0.0,United Air Lines Inc.,0.0
pedro-romero,Pedro Romero,San Antonio,SAT,20,3,False,0.0723,0.4818,0.7407,0.1315,0.5,0.5,0.0,0.1944,0.0,,0.0
rinaldi,Rinaldi,Philadelphia,PHL,20,3,False,0.0,0.3473,0.6576,0.1957,0.5,0.0,0.0,0.1944,0.0,American Airlines Inc.,0.0
robert-cohn,Robert Cohn,Newark,EWR,20,3,False,0.1445,0.4967,0.6854,0.1226,0.5,0.5,0.0,0.1944,0.0,United Air Lines Inc.,0.0
william-campbell,William Campbell,Seattle,SEA,20,1,True,0.289,0.999,0.6835,0.2007,0.0,0.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
joe-garner,Joe Garner,Los Angeles,LAX,18,1,True,0.458,0.379,0.767,0.3851,0.0,0.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
john-collins,John Collins,Portland,PDX,18,1,True,,,,,0.5,0.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
lord-rymel,Lord Rymel,"Washington, D.C.",,18,6,False,0.0539,0.5334,0.7488,0.1947,0.0,0.3889,0.0,0.2729,0.0694,,0.0
miss-van-campen,Miss Van Campen,Phoenix,PHX,18,1,True,0.289,0.448,,0.4222,0.0,1.0,0.0,0.0,0.0,Southwest Airlines Co.,0.0
mr-guttingen,Mr. Guttingen,Denver,DEN,18,1,True,0.0,0.612,0.7994,0.2009,0.5,0.5,0.0,0.0,0.0,Southwest Airlines Co.,0.0
theseus,Theseus,Fort Worth,DFW,18,6,False,0.2082,0.7338,0.7118,0.1831,0.0,0.3333,0.0,0.3351,0.2807,,0.0
conan-o-brien,Conan O'Brien,New York City,JFK,17,17,False,0.4648,0.5518,0.7591,0.3454,0.0,0.1765,0.0,0.5299,0.6856,,1.0
claude-monet,Claude Monet,Chicago,ORD,16,1,True,0.0,0.0,0.5425,0.2557,0.5,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
count-greffi,Count Greffi,Baltimore,BWI,16,1,True,,,,,0.0,0.0,0.0,0.0,0.0,Southwest Airlines Co.,0.0
duke-ellington,Duke Ellington,Salt Lake City,SLC,16,1,True,0.0,0.0,0.708,0.2287,0.5,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
edgar-degas,Edgar Degas,Denver,DEN,16,1,True,0.0,0.521,0.6525,0.1617,0.5,0.5,0.0,0.0,0.0,United Air Lines Inc.,0.0
marie-curie,Marie Curie,Miami,MIA,16,1,True,0.289,0.622,0.75,0.3361,0.0,0.0,0.0,0.0,0.0,American Airlines Inc.,0.0
mrs-garner,Mrs. Garner,San Francisco,SFO,16,1,True,0.0,0.653,0.739,0.1487,0.5,1.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
sarah-vaughan,Sarah Vaughan,New York City,LGA,16,1,True,0.0,0.548,0.7355,0.192,0.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
wes-montgomery,Wes Montgomery,Seattle,SEA,16,4,False,0.2752,0.8655,0.6978,0.2434,0.0,0.25,0.0,0.2593,0.0,Delta Air Lines Inc.,0.0
andy-warhol,Andy Warhol,Houston,IAH,15,12,False,0.2843,0.3211,0.736,0.4497,0.0,0.4667,0.0,0.4546,0.0,United Air Lines Inc.,0.0
gordon-ramsay,Gordon Ramsay,Los Angeles,,15,15,False,0.224,0.3843,0.7515,0.32,0.0,0.1333,0.0,0.5065,0.4575,,1.0
icarus,Icarus,Austin,AUS,15,6,False,0.3737,0.5774,0.7712,0.2216,0.0,0.2667,0.0,0.3313,0.3377,,0.0
john-coltrane,John Coltrane,Minneapolis,MSP,15,11,False,0.1927,0.3017,0.7355,0.3937,0.0,0.4,0.0,0.4373,0.2177,Delta Air Lines Inc.,0.0
thelonious-monk,Thelonious Monk,Los Angeles,LAX,14,4,False,0.1928,0.174,0.7191,0.3617,0.0,0.7143,0.0,0.2573,0.0,Delta Air Lines Inc.,0.0
jackson-pollock,Jackson Pollock,Chicago,ORD,12,1,True,0.0,0.717,0.67,0.1631,0.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
bill-evans,Bill Evans,Detroit,DTW,10,1,True,0.747,0.819,0.786,0.2178,0.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
edward-hopper,Edward Hopper,San Francisco,SFO,10,7,False,0.278,0.9069,0.6958,0.2512,0.0,0.3,0.0,0.3431,0.1052,,0.0
niels-bohr,Niels Bohr,Philadelphia,PHL,10,1,True,0.578,0.642,0.835,0.3323,0.0,1.0,0.0,0.0,0.0,American Airlines Inc.,0.0
solly-freedman,Solly Freedman,Honolulu,HNL,10,1,True,0.458,0.0,0.708,0.3238,0.0,1.0,0.0,0.0,0.0,Alaska Airlines Inc.,0.0
alfred-d-orsay,Alfred d'Orsay,"Washington, D.C.",IAD,8,1,True,0.0,0.0,0.535,0.2636,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
charlie-parker,Charlie Parker,Nashville,BNA,8,1,True,0.0,0.0,0.525,0.1846,1.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,0.0
ettore-moretti,Ettore Moretti,Dallas,DFW,6,2,False,0.0,0.0,0.724,0.2404,0.0,0.0,1.0,0.1296,0.0,American Airlines Inc.,0.0
frances-clyne,Frances Clyne,Minneapolis,MSP,6,1,True,,,,,0.0,0.0,1.0,0.0,0.0,Delta Air Lines Inc.,0.0
harvey-stone,Harvey Stone,Detroit,DTW,6,1,True,0.0,0.0,0.6788,0.2404,0.0,0.0,1.0,0.0,0.0,Delta Air Lines Inc.,0.0
ralph-simmons,Ralph Simmons,Charlotte,CLT,6,1,True,0.0,0.0,0.675,0.2404,0.0,0.0,1.0,0.0,0.0,American Airlines Inc.,0.0
abel-magwitch,Abel Magwitch,New York City,EWR,5,2,False,0.578,0.6388,0.8232,0.3916,0.0,1.0,0.0,0.1259,0.0,TAP-TAP Air Portugal,0.0
alfred-polly,Alfred Polly,Chicago,ORD,5,1,True,0.0,0.0,0.535,0.2636,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
arthur-bedford,Arthur Bedford,New York City,EWR,5,1,True,0.0,0.174,0.479,0.2903,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
arthur-kipps,Arthur Kipps,New York City,EWR,5,1,True,,,,,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
bill-sikes,Bill Sikes,New York City,EWR,5,5,False,0.3468,0.5532,0.6937,0.3469,0.0,0.0,0.0,0.301,0.0,United Air Lines Inc.,0.0
charley-bates,Charley Bates,New York City,JFK,5,5,False,0.6967,0.8277,0.7883,0.2299,0.0,0.4,0.0,0.301,0.1619,American Airlines Inc.,0.0
count-mippipopolous,Count Mippipopolous,New York City,JFK,5,1,True,0.0,0.717,0.734,0.1631,1.0,0.0,0.0,0.0,0.0,Air Canada,0.0
edward-prendick,Edward Prendick,San Francisco,SFO,5,1,True,0.0,0.521,0.566,0.1617,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
edwin-leeford,Edwin Leeford,New York City,EWR,5,5,False,0.6756,0.749,0.7512,0.2838,0.0,0.2,0.0,0.301,0.0,United Air Lines Inc.,0.0
estella-havisham,Estella Havisham,New York City,EWR,5,5,False,0.6013,0.7087,0.8158,0.3419,0.0,0.6,0.0,0.301,0.0,United Air Lines Inc.,0.0
georgia-o-keeffe,Georgia O'Keeffe,Houston,IAH,5,5,False,0.3118,0.4406,0.7665,0.4051,0.0,0.6,0.0,0.301,0.0,United Air Lines Inc.,0.0
harry-maylie,Harry Maylie,New York City,JFK,5,4,False,0.6338,0.853,0.7598,0.1828,0.0,0.6,0.0,0.301,0.3074,British Airways Plc,0.0
helen-walshingham,Helen Walshingham,"Washington, D.C.",IAD,5,1,True,0.0,0.521,0.566,0.1617,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
herbert-george-wells,Herbert George Wells,Los Angeles,LAX,5,1,True,0.0,0.0,0.598,0.161,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
jack-dawkins,Jack Dawkins,New York City,JFK,5,5,False,0.518,0.6857,0.7855,0.3587,0.0,0.8,0.0,0.301,0.1619,Delta Air Lines Inc.,0.0
joe-gargery,Joe Gargery,New York City,EWR,5,5,False,0.4232,0.6866,0.7282,0.2836,0.0,0.2,0.0,0.301,0.0,United Air Lines Inc.,0.0
joseph-cavor,Joseph Cavor,Denver,DEN,5,1,True,0.0,0.0,0.539,0.1825,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
manuel-orquito,Manuel Orquito,Los Angeles,LAX,5,1,True,0.0,0.717,0.734,0.1631,1.0,0.0,0.0,0.0,0.0,Air Canada,0.0
miriam-polly,Miriam Polly,Chicago,ORD,5,1,True,0.0,0.0,0.535,0.2636,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
miss-havisham,Miss Havisham,New York City,EWR,5,5,False,0.5902,0.7488,0.768,0.3283,0.0,0.4,0.0,0.301,0.2177,United Air Lines Inc.,0.0
montgomery,Montgomery,Houston,IAH,5,1,True,0.0,0.548,0.703,0.192,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
mr-brownlow,Mr. Brownlow,New York City,JFK,5,5,False,0.4418,0.8062,0.7382,0.2188,0.0,0.2,0.0,0.301,0.2177,American Airlines Inc.,0.0
mrs-braddocks,Mrs. Braddocks,Miami,MIA,5,1,True,0.0,0.717,0.734,0.1631,1.0,0.0,0.0,0.0,0.0,Air Canada,0.0
nancy-sikes,Nancy Sikes,New York City,JFK,5,5,False,0.6064,0.7396,0.7883,0.3376,0.0,0.8,0.0,0.301,0.1619,Delta Air Lines Inc.,0.0
oliver-twist,Oliver Twist,New York City,JFK,5,5,False,0.7068,0.8524,0.803,0.2033,0.0,0.6,0.0,0.301,0.3413,Delta Air Lines Inc.,0.0
rose-maylie,Rose Maylie,New York City,JFK,5,4,False,0.6338,0.853,0.7598,0.1828,0.0,0.6,0.0,0.301,0.3074,British Airways Plc,0.0
toby-crackit,Toby Crackit,New York City,EWR,5,5,False,0.6735,0.74,0.7877,0.2729,0.0,0.6,0.0,0.301,0.0,United Air Lines Inc.,0.0
william-moreau,William Moreau,"Washington, D.C.",IAD,5,1,True,0.0,0.428,0.736,0.3281,1.0,0.0,0.0,0.0,0.0,United Air Lines Inc.,0.0
pablo-picasso,Pablo Picasso,Barcelona,BCN,4,4,False,0.1868,0.8058,0.791,0.0898,0.0,0.5,0.0,0.2593,0.0,,0.0
charley-wyman,Charley Wyman,Newark,EWR,3,2,False,0.0,0.591,0.634,0.1555,0.0,0.0,1.0,0.119,0.0,,0.0
david-chang,David Chang,New York City,JFK,3,3,False,0.0963,0.5017,0.7517,0.2603,0.0,0.6667,0.0,0.2055,0.2059,,1.0
patrick-white,Patrick White,Melbourne,,3,1,True,0.458,0.0,0.752,0.3238,,,,,0.0,,0.0
george-gardner,George Gardner,Houston,IAH,3,2,False,,,,,0.0,0.0,1.0,0.119,0.0,,0.0
jim-gilmore,Jim Gilmore,San Francisco,SFO,3,1,True,0.0,0.591,0.619,0.1555,0.0,0.0,1.0,0.0,0.0,,0.0
ernest-hemingway,Ernest Hemingway,"Washington, D.C.",,3,3,False,0.4473,0.7433,0.7563,0.2011,,,,,0.3554,,0.0
liz-coates,Liz Coates,Chicago,ORD,3,2,False,,,,,0.0,0.0,1.0,0.119,0.0,,0.0
mrs-smith,Mrs. Smith,Atlanta,ATL,3,1,True,0.0,0.591,0.6217,0.1555,0.0,0.0,1.0,0.0,0.0,,0.0
toni-morrison,Toni Morrison,"Washington, D.C.",,1,1,True,0.289,0.999,0.777,0.2007,,,,,0.0,,0.0
robertson-davies,Robertson Davies,Toronto,,1,1,True,0.671,0.993,0.758,0.1604,,,,,0.2242,,0.0
yun-dong-ju,Yun Dong-ju,Seoul,,2,2,False,0.867,0.727,0.82,0.2413,,,,,0.2242,,0.0
yi-sang,Yi Sang,Seoul,,2,2,False,0.578,0.3635,0.762,0.4498,,,,,0.2242,,0.0
pearl-s-buck,Pearl S. Buck,"Washington, D.C.",,2,1,True,0.458,0.936,0.7425,0.05,,,,,0.0,,0.0
william-faulkner,William Faulkner,"Washington, D.C.",,2,1,True,0.671,0.993,0.773,0.1604,,,,,0.0,,0.0
yasunari-kawabata,Yasunari Kawabata,Osaka,,2,1,True,0.289,0.999,0.6875,0.2007,,,,,0.0,,0.0
emilia-pardo-bazan,Emilia Pardo Bazan,Madrid,,2,2,False,0.4335,0.3845,0.7245,0.4613,,,,,0.2242,,0.0
emily-dickinson,Emily Dickinson,"Washington, D.C.",,1,1,True,0.671,0.993,0.78,0.1604,,,,,0.2242,,0.0
mordecai-richler,Mordecai Richler,Toronto,,1,1,True,0.458,0.0,0.668,0.3238,,,,,0.0,,0.0
john-steinbeck,John Steinbeck,"Washington, D.C.",,1,1,True,0.289,0.999,0.758,0.2007,,,,,0.0,,0.0
nhok-them,Nhok Them,Siem Reap,,1,1,True,0.289,0.0,0.603,0.6823,,,,,0.0,,0.0
sanmao,Sanmao,Taipei,,1,1,True,0.289,0.0,0.673,0.6584,,,,,0.0,,0.0
christina-stead,Christina Stead,Sydney,,0,0,True,,,,,,,,,0.0,,
sor-juana-ines-de-la-cruz,Sor Juana Ines de la Cruz,Mexico City,,1,1,True,0.0,0.283,0.775,0.3101,,,,,0.0,,0.0
rosalia-de-castro,Rosalia de Castro,Madrid,,1,1,True,0.578,0.769,0.799,0.2642,,,,,0.0,,0.0
william-shakespeare,William Shakespeare,Manchester,,1,1,True,0.671,0.954,0.785,0.1327,,,,,0.0,,0.0
miguel-de-cervantes,Miguel de Cervantes,Madrid,,1,1,True,0.578,0.769,0.776,0.2642,,,,,0.0,,0.0
kim-su-yong,Kim Su-yong,Seoul,,0,0,True,,,,,,,,,0.0,,
eileen-chang,Eileen Chang,Beijing,,1,1,True,0.458,0.0,0.669,0.3238,,,,,0.0,,0.0
leonard-cohen,Leonard Cohen,Toronto,,1,1,True,0.458,0.0,0.723,0.3238,,,,,0.0,,0.0
mark-twain,Mark Twain,"Washington, D.C.",,1,1,True,0.289,0.999,0.676,0.2007,,,,,0.0,,0.0
han-yong-un,Han Yong-un,Seoul,,1,1,True,0.458,0.0,0.747,0.3238,,,,,0.0,,0.0
miles-franklin,Miles Franklin,Melbourne,,1,1,True,0.458,0.0,0.749,0.3238,,,,,0.0,,0.0
alice-munro,Alice Munro,Toronto,,1,1,True,0.289,0.999,0.699,0.2007,,,,,0.0,,0.0
park-kyong-ni,Park Kyong-ni,Seoul,,1,1,True,0.289,0.0,0.69,0.6584,,,,,0.0,,0.0
harper-lee,Harper Lee,"Washington, D.C.",,1,1,True,0.458,0.936,0.7,0.05,,,,,0.0,,0.0
jane-austen,Jane Austen,London,,1,1,True,0.458,0.0,0.797,0.5964,,,,,0.0,,0.0
virginia-woolf,Virginia Woolf,Manchester,,1,1,True,0.671,0.954,0.79,0.1327,,,,,0.0,,0.0
doris-lessing,Doris Lessing,London,,0,0,True,,,,,,,,,0.0,,
ana-maria-matute,Ana Maria Matute,Madrid,,1,1,True,0.578,0.769,0.799,0.2642,,,,,0.0,,0.0
grazia-deledda,Grazia Deledda,Milan,,1,1,True,0.867,0.727,0.789,0.2413,,,,,0.0,,0.0
charlotte-bronte,Charlotte Bronte,London,,1,1,True,0.0,0.663,,0.6624,,,,,0.0,,0.0
l-m-montgomery,L. M. Montgomery,Toronto,,1,1,True,0.0,0.685,0.791,0.2439,,,,,0.0,,0.0
ousha-bint-khalifa-al-suwaidi,Ousha bint Khalifa Al Suwaidi,Abu Dhabi,,1,1,True,0.0,0.748,0.801,0.2951,,,,,0.0,,0.0
fatema-mernissi,Fatema Mernissi,Casablanca,,1,1,True,0.289,0.0,0.699,0.5813,,,,,0.0,,0.0
machado-de-assis,Machado de Assis,Sao Paulo,,1,1,True,0.578,0.602,0.748,0.4542,,,,,0.0,,0.0
f-scott-fitzgerald,F. Scott Fitzgerald,"Washington, D.C.",,1,1,True,0.0,0.283,0.697,0.3101,,,,,0.0,,0.0
nikos-kazantzakis,Nikos Kazantzakis,Athens,,1,1,True,,,,,,,,,0.0,,0.0
park-wan-suh,Park Wan-suh,Seoul,,1,1,True,0.458,0.562,0.818,0.3849,,,,,0.0,,0.0
elsa-morante,Elsa Morante,Milan,,1,1,True,0.867,0.727,0.703,0.2413,,,,,0.0,,0.0
