destination_key,destination_city,destination_country,detailed_region,matched,unesco_score,michelin_score,allocentric_score,weather_mean,weather_best_month,trips,travelers,beach_share,ski_share,holiday_share,median_duration_days,median_accommodation_cost,median_transportation_cost
Cleveland|United States,Cleveland,United States,Northern America,True,0.0,0.0,0.2557,6.57,september,17,2,0.0,0.0,0.4706,5.0,,250.0
Colombo|Sri Lanka,Colombo,Sri Lanka,Southern Asia,True,0.0,0.0,0.5676,6.47,february,2,1,1.0,0.0,0.0,5.0,,
Copenhagen|Denmark,Copenhagen,Denmark,Northern Europe,True,7.47,7.03,0.3634,7.09,august,3,3,0.0,0.0,0.0,5.0,1950.0,950.0
Cozumel|Mexico,Cozumel,Mexico,Central America,False,,,,,,2,2,0.0,0.0,0.0,7.0,1137.5,475.0
Da Lat|Vietnam,Da Lat,Vietnam,South-eastern Asia,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Dakar|Senegal,Dakar,Senegal,Western Africa,True,2.89,0.0,0.4315,7.59,june,1,1,0.0,0.0,0.0,5.0,,
Dallas-Fort Worth|United States,Dallas-Fort Worth,United States,Northern America,False,,,,,,5,1,0.0,0.0,0.0,3.0,640.0,220.0
Dallas|United States,Dallas,United States,Northern America,True,0.0,5.27,0.0962,7.54,september,15,3,0.0,0.0,0.0,4.0,950.0,300.0
Dar es Salaam|Tanzania,Dar es Salaam,Tanzania,Eastern Africa,True,0.0,0.0,0.6793,7.23,july,1,1,0.0,0.0,0.0,5.0,,
Delhi|India,Delhi,India,Southern Asia,True,5.78,0.0,0.4498,7.44,november,1,1,0.0,0.0,0.0,5.0,,
Denpasar|Indonesia,Denpasar,Indonesia,South-eastern Asia,True,2.89,0.0,0.6584,6.69,april,1,1,1.0,0.0,0.0,5.0,,
Denver|United States,Denver,United States,Northern America,True,0.0,5.91,0.1555,7.39,july,101,20,0.0,0.5446,0.198,5.0,1050.0,325.0
Detroit|United States,Detroit,United States,Northern America,True,0.0,0.0,0.1846,6.93,september,15,4,0.0,0.0,0.5333,5.0,980.0,230.0
Doha|Qatar,Doha,Qatar,Western Asia,True,0.0,5.95,0.3533,7.32,november,1,1,0.0,0.0,0.0,5.0,,
Dubai|United Arab Emirates,Dubai,United Arab Emirates,Western Asia,True,0.0,7.48,0.2951,7.49,october,4,4,0.25,0.0,0.0,6.0,1500.0,800.0
Dublin|Ireland,Dublin,Ireland,Northern Europe,True,2.89,6.4,0.2712,6.73,may,22,12,0.0,0.0,0.2273,7.0,1800.0,875.0
Duesseldorf|Germany,Duesseldorf,Germany,Western Europe,True,6.71,7.29,0.2595,7.2,march,1,1,0.0,0.0,0.0,5.0,,
Edinburgh|United Kingdom,Edinburgh,United Kingdom,Northern Europe,True,5.78,6.22,0.3521,6.87,may,7,6,0.0,0.0,0.0,6.0,1787.5,817.5
El Paso|United States,El Paso,United States,Northern America,True,0.0,0.0,0.3528,7.83,may,10,1,0.0,0.0,1.0,4.5,950.0,165.0
Erbil|Iraq,Erbil,Iraq,Western Asia,True,2.89,0.0,0.7025,7.54,october,1,1,0.0,0.0,0.0,5.0,,
Frankfurt|Germany,Frankfurt,Germany,Western Europe,True,6.71,6.53,0.1735,7.26,may,17,5,0.0,0.0,0.0588,6.0,1850.0,905.0
Geneva|Switzerland,Geneva,Switzerland,Western Europe,True,4.58,7.66,0.4046,,,2,2,0.0,0.0,0.0,10.0,3600.0,1080.0
George Town|Cayman Islands,George Town,Cayman Islands,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,7.0,1200.0,500.0
Glasgow|United Kingdom,Glasgow,United Kingdom,Northern Europe,True,2.89,4.39,0.3417,6.73,may,2,2,0.0,0.0,0.0,8.0,1500.0,720.0
Guadalajara|Mexico,Guadalajara,Mexico,Central America,True,4.58,3.79,0.3851,7.75,november,58,10,0.0,0.0,0.0862,5.0,700.0,450.0
Guayaquil|Ecuador,Guayaquil,Ecuador,South America,True,0.0,0.0,0.5282,7.49,august,1,1,0.0,0.0,0.0,5.0,,
Hamburg|Germany,Hamburg,Germany,Western Europe,True,2.89,6.53,0.4377,7.13,march,1,1,0.0,0.0,0.0,10.0,2600.0,905.0
Hanoi|Vietnam,Hanoi,Vietnam,South-eastern Asia,True,4.58,6.63,0.5516,6.83,january,5,1,0.0,0.0,0.0,5.0,,
Havana|Cuba,Havana,Cuba,Caribbean,True,2.89,0.0,0.4606,7.37,may,4,3,1.0,0.0,0.0,5.0,,
Hawaii|United States,Hawaii,United States,Northern America,False,,,,,,1,1,0.0,0.0,0.0,9.0,2000.0,800.0
Helsinki|Finland,Helsinki,Finland,Northern Europe,True,4.58,5.48,0.3791,6.52,july,2,2,0.0,0.0,0.0,5.0,,
Ho Chi Minh City|Vietnam,Ho Chi Minh City,Vietnam,South-eastern Asia,True,0.0,6.97,0.5402,6.9,january,2,1,1.0,0.0,0.0,5.0,,
Hong Kong|Hong Kong,Hong Kong,Hong Kong,Eastern Asia,True,0.0,8.53,0.2431,6.93,january,5,3,0.0,0.0,0.0,5.0,3187.5,1125.0
Honolulu|United States,Honolulu,United States,Northern America,True,0.0,0.0,0.2843,,,16,5,0.9375,0.0,0.0,8.0,1175.0,350.0
Houston|United States,Houston,United States,Northern America,True,0.0,6.02,0.1323,7.29,september,53,5,0.566,0.0,0.2075,0.0,1000.0,300.0
Iceland's Ring Road|Iceland,Iceland's Ring Road,Iceland,Northern Europe,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Istanbul|Turkey,Istanbul,Turkey,Western Asia,True,2.89,7.05,0.4218,7.52,july,2,1,0.0,0.0,0.0,5.0,,
Jacksn Hole|United States,Jacksn Hole,United States,Northern America,False,,,,,,9,2,0.0,1.0,0.0,7.0,4100.0,470.0
Jakarta|Indonesia,Jakarta,Indonesia,South-eastern Asia,True,0.0,0.0,0.6225,6.65,july,1,1,1.0,0.0,0.0,5.0,,
Jerusalem|Israel,Jerusalem,Israel,Western Asia,True,8.67,0.0,0.4052,7.84,june,1,1,1.0,0.0,0.0,5.0,,
Johannesburg|South Africa,Johannesburg,South Africa,Southern Africa,True,4.58,0.0,0.3815,7.4,may,1,1,0.0,0.0,0.0,5.0,,
Kahului|United States,Kahului,United States,Northern America,False,,,,,,21,2,0.0,0.0,0.4762,7.0,1200.0,362.5
Kailua-Kona|United States,Kailua-Kona,United States,Northern America,False,,,,,,8,2,0.0,0.0,0.0,7.0,1125.0,350.0
Kansas City|United States,Kansas City,United States,Northern America,True,0.0,0.0,0.2688,7.12,august,2,1,0.0,0.0,0.0,5.0,,
Keflavik|Iceland,Keflavik,Iceland,Northern Europe,False,,,,,,1,1,0.0,0.0,0.0,0.0,,
Kingston|Jamaica,Kingston,Jamaica,Caribbean,True,4.58,0.0,0.4287,7.57,january,2,1,1.0,0.0,0.0,5.0,,
Kingstown|Saint Vincent and the Grenadines,Kingstown,Saint Vincent and the Grenadines,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Kinshasa|Congo (Kinshasa),Kinshasa,Congo (Kinshasa),Middle Africa,True,0.0,0.0,0.6882,7.28,august,1,1,0.0,0.0,0.0,5.0,,
Knoxville|United States,Knoxville,United States,Northern America,True,0.0,2.19,0.365,7.2,july,1,1,0.0,0.0,0.0,5.0,,
Kuala Lumpur|Malaysia,Kuala Lumpur,Malaysia,South-eastern Asia,True,2.89,6.85,0.6117,6.84,july,1,1,1.0,0.0,0.0,5.0,,
Kuching|Malaysia,Kuching,Malaysia,South-eastern Asia,True,0.0,0.0,0.7563,,,1,1,1.0,0.0,0.0,5.0,,
Kyiv|Ukraine,Kyiv,Ukraine,Eastern Europe,True,2.89,0.0,0.5773,6.94,august,1,1,0.0,0.0,0.0,5.0,,
Lagos|Nigeria,Lagos,Nigeria,Western Africa,True,0.0,0.0,0.5234,6.83,january,1,1,1.0,0.0,0.0,5.0,,
Las Vegas|United States,Las Vegas,United States,Northern America,True,0.0,0.0,0.1531,7.74,september,31,7,0.0,0.0,0.0,4.0,1000.0,300.0
Leon/Guanajuato|Mexico,Leon/Guanajuato,Mexico,Central America,False,,,,,,1,1,0.0,0.0,0.0,4.0,700.0,450.0
Leon|Mexico,Leon,Mexico,Central America,False,,,,,,4,1,0.0,0.0,0.0,4.0,675.0,437.5
Liberia|Costa Rica,Liberia,Costa Rica,Central America,False,,,,,,8,2,0.0,0.0,0.0,8.0,1325.0,687.5
Lima|Peru,Lima,Peru,South America,True,4.58,0.0,0.4084,8.08,november,12,3,0.0,0.0,0.0,10.0,1400.0,725.0
Lisbon|Portugal,Lisbon,Portugal,Southern Europe,True,5.78,6.42,0.3323,7.41,june,28,12,0.7143,0.0,0.0,10.0,2425.0,875.0
Livingston|United States,Livingston,United States,Northern America,False,,,,,,2,1,0.0,0.0,0.0,5.0,,
London|United Kingdom,London,United Kingdom,Northern Europe,True,6.71,9.54,0.1327,7.32,april,105,27,0.1524,0.0,0.0,7.0,1950.0,950.0
Los Angeles|United States,Los Angeles,United States,Northern America,True,2.89,8.2,0.0885,8.07,july,42,10,0.2857,0.0,0.0,6.0,1050.0,300.0
Luang Prabang|Laos,Luang Prabang,Laos,South-eastern Asia,False,,,,,,2,1,0.0,0.0,0.0,5.0,,
Madrid|Spain,Madrid,Spain,Southern Europe,True,6.71,8.22,0.2538,7.55,july,31,14,0.0,0.0,0.0,8.0,2425.0,897.5
Managua|Nicaragua,Managua,Nicaragua,Central America,True,2.89,0.0,0.4508,6.66,february,1,1,0.0,0.0,0.0,5.0,,
Manchester|United Kingdom,Manchester,United Kingdom,Northern Europe,True,2.89,6.37,0.2467,6.94,april,5,5,0.0,0.0,0.0,11.0,2700.0,960.0
Manila|Philippines,Manila,Philippines,South-eastern Asia,True,2.89,7.1,0.532,6.66,march,2,1,1.0,0.0,0.0,5.0,,
Maputo|Mozambique,Maputo,Mozambique,Eastern Africa,True,0.0,0.0,0.7474,7.38,may,1,1,1.0,0.0,0.0,5.0,,
Marrakech|Morocco,Marrakech,Morocco,Northern Africa,True,2.89,0.0,0.5813,7.61,october,1,1,0.0,0.0,0.0,7.0,600.0,400.0
Melbourne|Australia,Melbourne,Australia,Australia and New Zealand,True,2.89,0.0,0.3693,7.32,december,6,3,0.5,0.0,0.0,9.5,3000.0,1075.0
Memphis|United States,Memphis,United States,Northern America,True,0.0,2.83,0.2852,7.26,august,1,1,0.0,0.0,0.0,5.0,,
Merida|Mexico,Merida,Mexico,Central America,True,0.0,4.06,0.6129,7.27,april,2,2,1.0,0.0,0.0,5.5,875.0,450.0
Mexico City|Mexico,Mexico City,Mexico,Central America,True,8.12,6.87,0.2954,7.56,april,33,11,0.0,0.0,0.0,5.0,700.0,425.0
Miami|United States,Miami,United States,Northern America,True,0.0,6.68,0.1,7.25,may,65,12,1.0,0.0,0.1538,5.0,1050.0,300.0
Milano|Italy,Milano,Italy,Southern Europe,False,,,,,,5,5,0.0,0.0,0.0,13.0,2050.0,875.0
Milan|Italy,Milan,Italy,Southern Europe,True,7.47,8.48,0.2848,7.39,june,4,3,0.0,0.0,0.0,6.0,1912.5,887.5
Milwaukee|United States,Milwaukee,United States,Northern America,True,0.0,0.0,0.3152,6.88,august,5,1,0.0,0.0,0.0,3.0,700.0,180.0
Minneapolis|United States,Minneapolis,United States,Northern America,True,0.0,0.0,0.1825,6.78,august,35,6,0.0,0.0,0.7143,4.0,975.0,230.0
Monrovia|Liberia,Monrovia,Liberia,Western Africa,True,0.0,0.0,0.6341,6.33,january,1,1,1.0,0.0,0.0,5.0,,
Montego Bay|Jamaica,Montego Bay,Jamaica,Caribbean,False,,,,,,22,3,0.0,0.0,0.0,7.0,1250.0,537.5
Monterrey|Mexico,Monterrey,Mexico,Central America,True,0.0,3.79,0.4438,7.71,march,11,4,0.0,0.0,0.0,4.0,687.5,437.5
Montevideo|Uruguay,Montevideo,Uruguay,South America,True,2.89,0.0,0.5256,7.24,january,2,1,0.0,0.0,0.0,5.0,,
Montreal|Canada,Montreal,Canada,Northern America,True,0.0,6.58,0.2157,6.52,august,6,2,0.0,0.0,0.0,4.0,925.0,275.0
Montrose CO|United States,Montrose CO,United States,Northern America,False,,,,,,1,1,0.0,1.0,0.0,7.0,2950.0,455.0
Moscow|Russia,Moscow,Russia,Eastern Europe,True,5.78,0.0,0.3967,6.65,september,2,1,0.0,0.0,0.0,5.0,,
Mumbai|India,Mumbai,India,Southern Asia,True,6.71,0.0,0.4862,7.03,april,1,1,1.0,0.0,0.0,5.0,,
Munich|Germany,Munich,Germany,Western Europe,True,2.89,7.24,0.2682,6.91,april,5,1,0.0,0.0,0.0,7.0,2050.0,1000.0
Muscat|Oman,Muscat,Oman,Western Asia,True,0.0,0.0,0.5645,7.39,october,1,1,1.0,0.0,0.0,5.0,,
Nairobi|Kenya,Nairobi,Kenya,Eastern Africa,True,0.0,0.0,0.5742,7.22,february,1,1,0.0,0.0,0.0,5.0,,
Napa|United States,Napa,United States,Northern America,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Naples|Italy,Naples,Italy,Southern Europe,True,7.47,7.68,0.5675,7.5,june,2,2,0.5,0.0,0.0,10.0,2787.5,1012.5
Nashville|United States,Nashville,United States,Northern America,True,0.0,4.96,0.2448,7.14,august,24,4,0.0,0.0,0.4167,4.0,900.0,275.0
Nassau|Bahamas,Nassau,Bahamas,Caribbean,True,0.0,0.0,0.343,,,14,2,1.0,0.0,0.0,5.0,1250.0,537.5
New Orleans|United States,New Orleans,United States,Northern America,True,0.0,5.48,0.192,7.21,september,38,6,0.0,0.0,0.1316,5.0,980.0,310.0
New York City|United States,New York City,United States,Northern America,True,4.58,9.36,0.05,6.95,august,24,4,0.1667,0.0,0.0,5.0,1025.0,312.5
New York|United States,New York,United States,Northern America,True,4.58,9.36,0.05,6.95,august,66,11,0.3182,0.0,0.0,4.0,1225.0,350.0
Newark|United States,Newark,United States,Southern Europe,True,4.58,9.34,0.0737,,,17,4,0.1176,0.0,0.0,4.0,975.0,300.0
Nice|France,Nice,France,Western Europe,True,4.58,7.7,0.4533,7.71,june,9,7,0.5556,0.0,0.0,6.0,1950.0,900.0
Oaxaca|Mexico,Oaxaca,Mexico,Central America,True,4.58,5.03,0.6403,,,1,1,0.0,0.0,0.0,5.0,,
Oranjestad|Aruba,Oranjestad,Aruba,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,7.0,1200.0,500.0
Orlando|United States,Orlando,United States,Northern America,True,0.0,6.53,0.1487,7.38,april,124,16,0.9435,0.0,0.2339,6.0,1075.0,325.0
Osaka|Japan,Osaka,Japan,Eastern Asia,True,8.12,9.99,0.2978,7.23,january,2,2,1.0,0.0,0.0,8.5,3475.0,1200.0
Oslo|Norway,Oslo,Norway,Northern Europe,True,0.0,5.38,0.3952,6.93,may,1,1,0.0,0.0,0.0,5.0,,
Palm Springs|United States,Palm Springs,United States,Northern America,False,,,,,,19,2,0.0,0.0,0.4737,5.0,1175.0,350.0
Panama City|Panama,Panama City,Panama,Central America,True,2.89,0.0,0.3054,6.46,march,1,1,1.0,0.0,0.0,5.0,,
Paris|France,Paris,France,Western Europe,True,6.71,9.93,0.1604,7.29,august,47,23,0.0,0.0,0.0,6.0,1850.0,825.0
Paro|Bhutan,Paro,Bhutan,Southern Asia,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Penang|Malaysia,Penang,Malaysia,South-eastern Asia,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Philadelphia|United States,Philadelphia,United States,Northern America,True,2.89,5.58,0.1713,6.96,august,11,2,0.6364,0.0,0.0,4.0,950.0,300.0
Philipsburg|Netherlands Antilles,Philipsburg,Netherlands Antilles,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Phnom Penh|Cambodia,Phnom Penh,Cambodia,South-eastern Asia,True,2.89,0.0,0.6823,7.02,january,3,2,0.0,0.0,0.0,5.0,200.0,500.0
Phoenix|United States,Phoenix,United States,Northern America,True,2.89,0.0,0.1704,7.69,april,46,10,0.0,0.0,0.0652,5.0,987.5,300.0
Phuket|Thailand,Phuket,Thailand,South-eastern Asia,True,0.0,6.63,0.6624,,,3,3,0.0,0.0,0.0,7.0,800.0,700.0
Pittsburgh|United States,Pittsburgh,United States,Northern America,True,0.0,0.0,0.2636,6.78,august,33,7,0.0,0.0,0.5455,5.0,820.0,220.0
Port of Spain|Trinidad and Tobago,Port of Spain,Trinidad and Tobago,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Port-au-Prince|Haiti,Port-au-Prince,Haiti,Caribbean,True,0.0,0.0,0.5241,7.41,december,2,2,1.0,0.0,0.0,5.0,,
Portland|United States,Portland,United States,Northern America,True,0.0,0.0,0.2287,7.18,july,36,7,0.1667,0.0,0.2222,5.0,1100.0,250.0
Porto|Portugal,Porto,Portugal,Southern Europe,True,5.78,6.34,0.4805,7.22,july,6,4,0.8333,0.0,0.0,10.0,1850.0,890.0
Prague|Czech Republic,Prague,Czech Republic,Eastern Europe,True,2.89,6.09,0.462,7.09,august,2,2,0.0,0.0,0.0,5.5,2050.0,1000.0
Providenciales|Turks and Caicos,Providenciales,Turks and Caicos,Caribbean,False,,,,,,1,1,0.0,0.0,0.0,7.0,1225.0,525.0
Puebla|Mexico,Puebla,Mexico,Northern America,True,4.58,4.28,0.6418,7.65,november,1,1,0.0,0.0,0.0,0.0,,
Puerto Vallarta|Mexico,Puerto Vallarta,Mexico,Central America,True,2.89,1.74,0.4489,,,36,8,1.0,0.0,0.0,6.0,1100.0,475.0
Punta Cana|Dominican Republic,Punta Cana,Dominican Republic,Caribbean,False,,,,,,11,3,0.0,0.0,0.0,7.0,1275.0,550.0
Quebec City|Canada,Quebec City,Canada,Northern America,True,2.89,5.53,0.4645,6.29,september,1,1,0.0,0.0,0.0,5.0,,
Queretaro|Mexico,Queretaro,Mexico,Central America,True,4.58,0.0,0.595,7.66,april,5,2,0.0,0.0,0.0,4.0,650.0,425.0
Raleigh-durham|United States,Raleigh-durham,United States,Northern America,False,,,,,,10,2,0.0,0.0,0.5,4.0,855.0,220.0
Reykjavik|Iceland,Reykjavik,Iceland,Northern Europe,True,2.89,3.64,0.4658,,,2,2,0.0,0.0,0.0,5.5,1950.0,950.0
Reykjavík|Iceland,Reykjavík,Iceland,Northern Europe,True,2.89,3.64,0.4658,,,1,1,0.0,0.0,0.0,5.0,,
Rhine and Rothenburg|Germany,Rhine and Rothenburg,Germany,Western Europe,False,,,,,,1,1,0.0,0.0,0.0,5.0,,
Richmond|United States,Richmond,United States,Northern America,True,0.0,0.0,0.3176,7.19,august,10,1,0.0,0.0,1.0,4.5,1400.0,290.0
Rio de Janeiro|Brazil,Rio de Janeiro,Brazil,South America,True,5.78,6.02,0.4542,7.48,february,7,6,0.2857,0.0,0.0,7.0,900.0,600.0
Riyadh|Saudi Arabia,Riyadh,Saudi Arabia,Western Asia,True,2.89,5.58,0.5569,7.53,november,1,1,0.0,0.0,0.0,5.0,,
Rome|Italy,Rome,Italy,Southern Europe,True,8.67,7.27,0.2413,7.63,june,29,21,0.3793,0.0,0.0,8.0,2050.0,862.5
Sacramento|United States,Sacramento,United States,Northern America,True,0.0,4.06,0.2882,7.75,june,7,1,0.0,0.0,0.0,0.0,,
Salt Lake City|United States,Salt Lake City,United States,Northern America,True,0.0,0.0,0.2404,7.43,june,25,6,0.0,0.84,0.0,7.0,2375.0,367.5
San Antonio|United States,San Antonio,United States,Northern America,True,2.89,4.39,0.2932,7.44,september,22,4,0.0,0.0,0.0,4.0,1000.0,300.0
San Diego|United States,San Diego,United States,Northern America,True,0.0,6.12,0.2009,7.93,july,53,5,0.5094,0.0,0.3208,5.0,1125.0,275.0
San Francisco|United States,San Francisco,United States,Northern America,True,0.0,8.13,0.1448,7.64,may,40,9,0.0,0.0,0.0,5.0,1000.0,300.0
San Jose del Cabo|Mexico,San Jose del Cabo,Mexico,Central America,True,2.89,4.48,0.4222,,,69,12,1.0,0.0,0.0,7.0,1100.0,475.0
San Jose|Costa Rica,San Jose,Costa Rica,Central America,True,0.0,0.0,0.3074,6.96,march,14,2,1.0,0.0,0.0,8.0,1400.0,725.0
San Juan|Puerto Rico,San Juan,Puerto Rico,Caribbean,True,2.89,0.0,0.2712,7.13,june,2,1,1.0,0.0,0.0,5.0,,
San Luis Potosi|Mexico,San Luis Potosi,Mexico,Central America,True,2.89,0.0,0.6105,7.71,april,1,1,0.0,0.0,0.0,4.0,700.0,450.0
Santa Ana|United States,Santa Ana,United States,Northern America,True,0.0,7.1,0.1094,,,4,1,0.75,0.0,0.0,0.0,,
Santiago|Chile,Santiago,Chile,South America,True,0.0,0.0,0.3637,8.13,january,1,1,0.0,0.0,0.0,5.0,,
Santo Domingo|Dominican Republic,Santo Domingo,Dominican Republic,Caribbean,True,2.89,0.0,0.3569,7.07,december,1,1,1.0,0.0,0.0,5.0,,
Santorini|Greece,Santorini,Greece,Southern Europe,False,,,,,,1,1,0.0,0.0,0.0,7.0,1000.0,150.0
Sao Paulo|Brazil,Sao Paulo,Brazil,South America,True,0.0,7.36,0.377,7.27,may,12,2,0.9167,0.0,0.0,10.0,1400.0,725.0
Sarasota|United States,Sarasota,United States,Northern America,False,,,,,,24,1,0.0,0.0,0.3333,6.0,1150.0,350.0
Savannah|United States,Savannah,United States,Northern America,True,0.0,0.0,0.3632,,,10,1,0.0,0.0,1.0,4.5,1600.0,340.0
Seattle|United States,Seattle,United States,Northern America,True,0.0,0.0,0.161,7.15,july,38,8,0.2368,0.0,0.1579,5.0,1100.0,300.0
Seoul|South Korea,Seoul,South Korea,Eastern Asia,True,8.12,8.2,0.2329,7.07,november,29,9,0.4483,0.0,0.0,11.0,3000.0,1075.0
Shanghai|China,Shanghai,China,Eastern Asia,True,0.0,7.99,0.2382,7.25,january,7,3,0.0,0.0,0.0,12.0,3650.0,1250.0
