destination_city,destination_country,trips,layover_trips,match_status,match_method,simplemaps_id,matched_city,matched_city_ascii,matched_country,unesco_score,michelin_score,plog_score
Addis Ababa,Ethiopia,1,0,matched,exact,1231824991,Addis Ababa,Addis Ababa,Ethiopia,2.89,0.0,0.4179
Albuquerque,United States,1,0,matched,exact,1840019176,Albuquerque,Albuquerque,United States,0.0,0.0,0.6878
Antananarivo,Madagascar,1,0,matched,exact,1450978461,Antananarivo,Antananarivo,Madagascar,2.89,0.0,0.3661
Asuncion,Paraguay,1,0,matched,exact,1600057911,Asunción,Asuncion,Paraguay,0.0,0.0,0.4553
Belfast,United Kingdom,1,0,matched,exact,1826325087,Belfast,Belfast,United Kingdom,2.89,4.28,0.4774
Birmingham,United Kingdom,1,0,matched,exact,1826423213,Birmingham,Birmingham,United Kingdom,2.89,5.8,0.5846
Bucharest,Romania,1,0,matched,exact,1642414442,Bucharest,Bucharest,Romania,0.0,0.0,0.4437
Budapest,Hungary,1,0,matched,exact,1348611435,Budapest,Budapest,Hungary,2.89,5.91,0.5181
Cairo,Egypt,1,0,matched,exact,1818253931,Cairo,Cairo,Egypt,4.58,0.0,0.4797
Christchurch,New Zealand,1,0,matched,exact,1554377228,Christchurch,Christchurch,New Zealand,0.0,4.48,0.3658
Dakar,Senegal,1,0,matched,exact,1686604760,Dakar,Dakar,Senegal,2.89,0.0,0.5685
Dar es Salaam,Tanzania,1,0,matched,exact,1834843853,Dar es Salaam,Dar es Salaam,Tanzania,0.0,0.0,0.3207
Delhi,India,1,0,matched,exact,1356872604,Delhi,Delhi,India,5.78,0.0,0.5502
Denpasar,Indonesia,1,0,matched,exact,1360848527,Denpasar,Denpasar,Indonesia,2.89,0.0,0.3416
Doha,Qatar,1,0,matched,exact,1634459660,Doha,Doha,Qatar,0.0,5.95,0.6467
Duesseldorf,Germany,1,0,matched,city_alias,1276615258,Düsseldorf,Dusseldorf,Germany,6.71,7.29,0.7405
Erbil,Iraq,1,0,matched,exact,1368578192,Erbil,Erbil,Iraq,2.89,0.0,0.2975
Guayaquil,Ecuador,1,0,matched,exact,1218802178,Guayaquil,Guayaquil,Ecuador,0.0,0.0,0.4718
Hamburg,Germany,1,0,matched,exact,1276041799,Hamburg,Hamburg,Germany,2.89,6.53,0.5623
Jakarta,Indonesia,1,0,matched,exact,1360771077,Jakarta,Jakarta,Indonesia,0.0,0.0,0.3775
Jerusalem,Israel,1,0,matched,exact,1376261644,Jerusalem,Jerusalem,Israel,8.67,0.0,0.5948
Johannesburg,South Africa,1,0,matched,exact,1710550792,Johannesburg,Johannesburg,South Africa,4.58,0.0,0.6185
Kinshasa,Congo (Kinshasa),1,0,matched,exact,1180000363,Kinshasa,Kinshasa,Congo (Kinshasa),0.0,0.0,0.3118
Knoxville,United States,1,0,matched,exact,1840014486,Knoxville,Knoxville,United States,0.0,2.19,0.635
Kuala Lumpur,Malaysia,1,0,matched,exact,1458988644,Kuala Lumpur,Kuala Lumpur,Malaysia,2.89,6.85,0.3883
Kuching,Malaysia,1,0,matched,exact,1458462262,Kuching,Kuching,Malaysia,0.0,0.0,0.2437
Kyiv,Ukraine,1,0,matched,exact,1804382913,Kyiv,Kyiv,Ukraine,2.89,0.0,0.4227
Lagos,Nigeria,1,0,matched,exact,1566593751,Lagos,Lagos,Nigeria,0.0,0.0,0.4766
Managua,Nicaragua,1,0,matched,exact,1558296252,Managua,Managua,Nicaragua,2.89,0.0,0.5492
Maputo,Mozambique,1,0,matched,exact,1508074843,Maputo,Maputo,Mozambique,0.0,0.0,0.2526
Marrakech,Morocco,1,0,matched,exact,1504172585,Marrakech,Marrakech,Morocco,2.89,0.0,0.4187
Memphis,United States,1,0,matched,exact,1840015457,Memphis,Memphis,United States,0.0,2.83,0.7148
Monrovia,Liberia,1,0,matched,exact,1430477826,Monrovia,Monrovia,Liberia,0.0,0.0,0.3659
Mumbai,India,1,0,matched,exact,1356226629,Mumbai,Mumbai,India,6.71,0.0,0.5138
Muscat,Oman,1,0,matched,exact,1512035506,Muscat,Muscat,Oman,0.0,0.0,0.4355
Nairobi,Kenya,1,0,matched,exact,1404000661,Nairobi,Nairobi,Kenya,0.0,0.0,0.4258
Oaxaca,Mexico,1,0,matched,exact,1484301467,Oaxaca,Oaxaca,Mexico,4.58,5.03,0.3597
Oslo,Norway,1,0,matched,exact,1578324706,Oslo,Oslo,Norway,0.0,5.38,0.6048
Panama City,Panama,1,0,matched,exact,1591672475,Panama City,Panama City,Panama,2.89,0.0,0.6946
Puebla,Mexico,1,0,matched,exact,1484416394,Puebla,Puebla,Mexico,4.58,4.28,0.3582
Quebec City,Canada,1,0,matched,exact,1124823933,Quebec City,Quebec City,Canada,2.89,5.53,0.5355
Reykjavík,Iceland,1,0,matched,exact,1352327190,Reykjavík,Reykjavik,Iceland,2.89,3.64,0.5342
Riyadh,Saudi Arabia,1,0,matched,exact,1682999334,Riyadh,Riyadh,Saudi Arabia,2.89,5.58,0.4431
San Luis Potosi,Mexico,1,0,matched,exact,1484583620,San Luis Potosí,San Luis Potosi,Mexico,2.89,0.0,0.3895
Santiago,Chile,1,0,matched,exact,1152554349,Santiago,Santiago,Chile,0.0,0.0,0.6363
Santo Domingo,Dominican Republic,1,0,matched,exact,1214636202,Santo Domingo,Santo Domingo,Dominican Republic,2.89,0.0,0.6431
Split,Croatia,1,0,matched,exact,1191440208,Split,Split,Croatia,6.71,4.82,0.3897
Tashkent,Uzbekistan,1,0,matched,exact,1860331871,Tashkent,Tashkent,Uzbekistan,2.89,0.0,0.4103
Tbilisi,Georgia,1,0,matched,exact,1268203191,Tbilisi,Tbilisi,Georgia,2.89,0.0,0.3141
Tehran,Iran,1,0,matched,exact,1364305026,Tehran,Tehran,Iran,5.78,0.0,0.3492
Tel Aviv,Israel,1,0,matched,exact,1376401542,Tel Aviv,Tel Aviv,Israel,4.58,0.0,0.5531
Tripoli,Libya,1,0,matched,exact,1434201852,Tripoli,Tripoli,Libya,0.0,0.0,0.2822
Veracruz,Mexico,1,0,matched,exact,1484992153,Veracruz,Veracruz,Mexico,0.0,0.0,0.3051
"Washington, D.C.",United States,1,0,matched,city_alias,1840006060,Washington,Washington,United States,0.0,7.41,0.8856
Windhoek,Namibia,1,0,matched,exact,1516802003,Windhoek,Windhoek,Namibia,0.0,0.0,0.3518
Yerevan,Armenia,1,0,matched,exact,1051074169,Yerevan,Yerevan,Armenia,4.58,0.0,0.3193
Traverse City,United States,35,0,city_not_in_list,,,,,,,,
Sarasota,United States,24,0,city_not_in_list,,,,,,,,
Montego Bay,Jamaica,22,0,city_not_in_list,,,,,,,,
Kahului,United States,21,0,city_not_in_list,,,,,,,,
West Palm Beach,United States,20,0,city_not_in_list,,,,,,,,
Palm Springs,United States,19,0,city_not_in_list,,,,,,,,
Punta Cana,Dominican Republic,11,0,city_not_in_list,,,,,,,,
Bozeman,United States,10,0,city_not_in_list,,,,,,,,
Raleigh-durham,United States,10,0,city_not_in_list,,,,,,,,
Jacksn Hole,United States,9,0,city_not_in_list,,,,,,,,
Belize City,Belize,8,0,city_not_in_list,,,,,,,,
Kailua-Kona,United States,8,0,city_not_in_list,,,,,,,,
Liberia,Costa Rica,8,0,city_not_in_list,,,,,,,,
Dallas-Fort Worth,United States,5,0,city_not_in_list,,,,,,,,
Milano,Italy,5,0,city_not_in_list,,,,,,,,
Leon,Mexico,4,0,city_not_in_list,,,,,,,,
Vail,United States,4,0,city_not_in_list,,,,,,,,
Aspen,United States,3,0,city_not_in_list,,,,,,,,
Cozumel,Mexico,2,0,city_not_in_list,,,,,,,,
Livingston,United States,2,0,city_not_in_list,,,,,,,,
Luang Prabang,Laos,2,0,city_not_in_list,,,,,,,,
,Japan,1,0,no_destination_city,,,,,,,,
,Thailand,1,0,no_destination_city,,,,,,,,
,Italy,1,0,no_destination_city,,,,,,,,
,Canada,1,0,no_destination_city,,,,,,,,
,France,1,0,no_destination_city,,,,,,,,
,Australia,1,0,no_destination_city,,,,,,,,
,Greece,1,0,no_destination_city,,,,,,,,
,Mexico,1,0,no_destination_city,,,,,,,,
,Brazil,1,0,no_destination_city,,,,,,,,
,Egypt,1,0,no_destination_city,,,,,,,,
,Spain,1,0,no_destination_city,,,,,,,,
Da Lat,Vietnam,1,0,city_not_in_list,,,,,,,,
George Town,Cayman Islands,1,0,city_not_in_list,,,,,,,,
Hawaii,United States,1,0,city_not_in_list,,,,,,,,
Iceland's Ring Road,Iceland,1,0,city_not_in_list,,,,,,,,
Keflavik,Iceland,1,0,city_not_in_list,,,,,,,,
Kingstown,Saint Vincent and the Grenadines,1,0,city_not_in_list,,,,,,,,
Leon/Guanajuato,Mexico,1,0,city_not_in_list,,,,,,,,
Montrose CO,United States,1,0,city_not_in_list,,,,,,,,
Napa,United States,1,0,city_not_in_list,,,,,,,,
Oranjestad,Aruba,1,0,city_not_in_list,,,,,,,,
Paro,Bhutan,1,0,city_not_in_list,,,,,,,,
Penang,Malaysia,1,0,city_not_in_list,,,,,,,,
Philipsburg,Netherlands Antilles,1,0,city_not_in_list,,,,,,,,
Port of Spain,Trinidad and Tobago,1,0,city_not_in_list,,,,,,,,
Providenciales,Turks and Caicos,1,0,city_not_in_list,,,,,,,,
Rhine and Rothenburg,Germany,1,0,city_not_in_list,,,,,,,,
Santorini,Greece,1,0,city_not_in_list,,,,,,,,
Shannon,Ireland,1,0,city_not_in_list,,,,,,,,
St. John's,Canada,1,0,city_not_in_list,,,,,,,,
Yangon,Burma,1,0,city_not_in_list,,,,,,,,
