trip_id,show,season,episode,episode_code,episode_title,episode_destination,air_date,start_date,end_date,duration_days,traveler_name,destination_city,destination_country,destination_airport,destination_airport_name,destination_lat,destination_lng,origin_airport,origin_alternates,nonstop_airlines,nonstop_airline_count,distance_km,is_domestic,notes
11,Rick Steves' Europe,2,27,RSE S2.E27,"Berlin: Resilient, Reunited, and Reborn","Berlin, Germany",2002-11-16,2002-11-16,2002-11-21,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,Tegel was Berlin's gateway in this era; airports.json (OpenFlights) predates BER; TXL (Berlin) has no nonstop from SEA; resolved to FRA
12,Rick Steves' Europe,2,28,RSE S2.E28,Germany's Romantic Rhine and Rothenburg,"Rhine and Rothenburg, Germany",2002-11-23,2002-11-23,2002-11-28,5,Rick Steves,Rhine and Rothenburg,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,
13,Rick Steves' Europe,2,29,RSE S2.E29,Munich and the Foothills of the Alps,"Munich, Germany",2002-11-30,2002-11-30,2002-12-05,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,MUC (Munich) has no nonstop from SEA; resolved to FRA
14,Rick Steves' Europe,3,33,RSE S3.E33,"Normandy: War-Torn, Yet Full of Life","Normandy, France",2004-09-18,2004-09-18,2004-09-23,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,CFR (Normandy) has no nonstop from SEA; resolved to CDG
15,Rick Steves' Europe,3,34,RSE S3.E34,Belfast and the Best of Northern Ireland,"Belfast, United Kingdom",2004-09-25,2004-09-25,2004-09-30,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,Northern Ireland is part of the United Kingdom; BFS (Belfast) has no nonstop from SEA; resolved to LHR
16,Rick Steves' Europe,3,35,RSE S3.E35,London: Mod and Trad,"London, United Kingdom",2004-10-02,2004-10-02,2004-10-07,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,
17,Rick Steves' Europe,3,36,RSE S3.E36,Highlights of Paris: Eiffel and Monet to Crème Brulée,"Paris, France",2004-10-09,2004-10-09,2004-10-14,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
18,Rick Steves' Europe,3,38,RSE S3.E38,"Provence: Legendary Light, Wind, and Wine","Provence, France",2004-10-23,2004-10-23,2004-10-28,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,MRS (Provence) has no nonstop from SEA; resolved to CDG
19,Rick Steves' Europe,3,39,RSE S3.E39,French Riviera: Uniquely Chic,"French Riviera, France",2004-10-30,2004-10-30,2004-11-04,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,NCE (French Riviera) has no nonstop from SEA; resolved to CDG
20,Rick Steves' Europe,4,44,RSE S4.E44,England's Bath and York,"Bath and York, United Kingdom",2006-10-07,2006-10-07,2006-10-12,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,BRS (Bath and York) has no nonstop from SEA; resolved to LHR
21,Rick Steves' Europe,4,45,RSE S4.E45,North Wales: Feisty and Poetic,"North Wales, United Kingdom",2006-10-14,2006-10-14,2006-10-19,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,LPL (North Wales) has no nonstop from SEA; resolved to LHR
22,Rick Steves' Europe,4,46,RSE S4.E46,Edinburgh,"Edinburgh, United Kingdom",2006-10-21,2006-10-21,2006-10-26,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,EDI (Edinburgh) has no nonstop from SEA; resolved to LHR
23,Rick Steves' Europe,5,55,RSE S5.E55,Burgundy: Profoundly French,"Burgundy, France",2008-10-04,2008-10-04,2008-10-09,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,LYS (Burgundy) has no nonstop from SEA; resolved to CDG
24,Rick Steves' Europe,5,56,RSE S5.E56,France's Dordogne,"Dordogne, France",2008-10-11,2008-10-11,2008-10-16,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,EGC (Dordogne) has no nonstop from SEA; resolved to CDG
25,Rick Steves' Europe,7,86,RSE S7.E86,Paris: Regal and Intimate,"Paris, France",2012-11-10,2012-11-10,2012-11-15,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
26,Rick Steves' Europe,7,87,RSE S7.E87,Paris: Embracing Life and Art,"Paris, France",2012-11-17,2012-11-17,2012-11-22,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
27,Rick Steves' Europe,7,88,RSE S7.E88,London: Historic and Dynamic,"London, United Kingdom",2012-11-24,2012-11-24,2012-11-29,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,
28,Rick Steves' Europe,7,89,RSE S7.E89,North England's Lake District and Durham,"Lake District and Durham, United Kingdom",2012-12-01,2012-12-01,2012-12-06,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,MAN (Lake District and Durham) has no nonstop from SEA; resolved to LHR
29,Rick Steves' Europe,8,97,RSE S8.E97,France's Loire: Château Country,"Loire Valley, France",2014-10-18,2014-10-18,2014-10-23,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,TUF (Loire Valley) has no nonstop from SEA; resolved to CDG
30,Rick Steves' Europe,8,98,RSE S8.E98,Paris Side Trips,"Paris, France",2014-10-25,2014-10-25,2014-10-30,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
31,Rick Steves' Europe,8,103,RSE S8.E103,Amsterdam,"Amsterdam, Netherlands",2014-11-29,2014-11-29,2014-12-04,5,Rick Steves,Amsterdam,Netherlands,AMS,Amsterdam Airport Schiphol,52.308601,4.76389,SEA,,DL|KL,2,7840.0,0,
32,Rick Steves' Europe,8,104,RSE S8.E104,The Netherlands: Beyond Amsterdam,"Amsterdam, Netherlands",2014-12-06,2014-12-06,2014-12-11,5,Rick Steves,Amsterdam,Netherlands,AMS,Amsterdam Airport Schiphol,52.308601,4.76389,SEA,,DL|KL,2,7840.0,0,Amsterdam Schiphol is the Netherlands' only major international gateway regardless of which region the episode tours
33,Rick Steves' Europe,8,106,RSE S8.E106,Berlin,"Berlin, Germany",2014-12-20,2014-12-20,2014-12-25,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,"airports.json (OpenFlights) predates BER, same as the Berlin episode above; TXL (Berlin) has no nonstop from SEA; resolved to FRA"
34,Rick Steves' Europe,9,107,RSE S9.E107,Germany's Hamburg and the Luther Trail,"Hamburg, Germany",2016-10-08,2016-10-08,2016-10-13,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,HAM (Hamburg) has no nonstop from SEA; resolved to FRA
35,Rick Steves' Europe,9,108,RSE S9.E108,Germany's Dresden and Leipzig,"Dresden, Germany",2016-10-15,2016-10-15,2016-10-20,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,DRS (Dresden) has no nonstop from SEA; resolved to FRA
36,Rick Steves' Europe,9,109,RSE S9.E109,Germany's Frankfurt and Nürnberg,"Frankfurt, Germany",2016-10-22,2016-10-22,2016-10-27,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,
37,Rick Steves' Europe,9,114,RSE S9.E114,West England,"West England, United Kingdom",2016-11-26,2016-11-26,2016-12-01,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,BRS (West England) has no nonstop from SEA; resolved to LHR
38,Rick Steves' Europe,9,115,RSE S9.E115,Southeast England,"Southeast England, United Kingdom",2016-12-03,2016-12-03,2016-12-08,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,LGW (Southeast England) has no nonstop from SEA; resolved to LHR
39,Rick Steves' Europe,9,116,RSE S9.E116,England's Cornwall,"Cornwall, United Kingdom",2016-12-10,2016-12-10,2016-12-15,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,NQY (Cornwall) has no nonstop from SEA; resolved to LHR
40,Rick Steves' Europe,11,133,RSE S11.E133,French Alps and Lyon,"Lyon, France",2020-10-29,2020-10-29,2020-11-03,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,LYS (Lyon) has no nonstop from SEA; resolved to CDG
41,Rick Steves' Europe,11,134,RSE S11.E134,Germany's Fascist Story,"Frankfurt, Germany",2020-11-05,2020-11-05,2020-11-10,5,Rick Steves,Frankfurt,Germany,FRA,Frankfurt am Main Airport,50.033333,8.570556,SEA,,DE|LH|UA,3,8197.4,0,"a single-country historical-theme episode touring multiple German sites, unlike the multi-country 'Story of Fascism in Europe' special in Season 10; Frankfurt is the nearest SEA gateway, same treatment as the other German regional episodes"
42,Rick Steves' Europe,13,152,RSE S13.E152,Iceland's Reykjavík and the Golden Circle,"Reykjavík, Iceland",2025-10-04,2025-10-04,2025-10-09,5,Rick Steves,Reykjavík,Iceland,KEF,Keflavik International Airport,63.985000610352,-22.605600357056,SEA,,FI,1,5811.3,0,
43,Rick Steves' Europe,13,153,RSE S13.E153,Iceland's Ring Road,"Iceland's Ring Road, Iceland",2025-10-11,2025-10-11,2025-10-16,5,Rick Steves,Iceland's Ring Road,Iceland,KEF,Keflavik International Airport,63.985000610352,-22.605600357056,SEA,,FI,1,5811.3,0,
44,Rick Steves' Europe,13,157,RSE S13.E157,Burgundy: A Gourmet Barge Cruise,"Burgundy, France",2025-11-05,2025-11-05,2025-11-10,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,LYS (Burgundy) has no nonstop from SEA; resolved to CDG
45,Rick Steves' Europe,13,158,RSE S13.E158,Paris of the Parisians,"Paris, France",2025-11-12,2025-11-12,2025-11-17,5,Rick Steves,Paris,France,CDG,Charles de Gaulle International Airport,49.012798,2.55,SEA,,AF|AZ|DL,3,8049.2,0,
46,Rick Steves' Europe,13,161,RSE S13.E161,London: A Royal Tour,"London, United Kingdom",2025-11-26,2025-11-26,2025-12-01,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,
47,Rick Steves' Europe,13,162,RSE S13.E162,London: Yesterday and Today,"London, United Kingdom",2025-12-03,2025-12-03,2025-12-08,5,Rick Steves,London,United Kingdom,LHR,London Heathrow Airport,51.4706,-0.461941,SEA,,AA|AF|AY|BA|DL|IB|KL|VS,8,7702.1,0,
