traveler_id,name,trip_count,trips_with_destination,n_destinations,top_destination,top_destination_share,entropy,entropy_is_informative,norm_global,norm_observed,norm_capacity
theseus,Theseus,18,18,6,HND,0.1667,1.7918,True,0.3351,1.0,0.6199
zeus,Zeus,30,30,6,LHR,0.1667,1.7918,True,0.3351,1.0,0.5268
chiron,Chiron,40,40,6,PHL,0.175,1.7892,True,0.3346,0.9986,0.485
hermes,Hermes,32,32,6,YYZ,0.1875,1.7879,True,0.3344,0.9979,0.5159
odysseus,Odysseus,32,32,6,FCO,0.1875,1.7879,True,0.3344,0.9979,0.5159
sisyphus,Sisyphus,32,32,6,SFO,0.1875,1.7879,True,0.3344,0.9979,0.5159
circe,Circe,28,28,6,CUN,0.1786,1.7865,True,0.3341,0.9971,0.5361
demeter,Demeter,28,28,6,CUN,0.1786,1.7865,True,0.3341,0.9971,0.5361
hera,Hera,28,28,6,CUN,0.1786,1.7865,True,0.3341,0.9971,0.5361
pandora,Pandora,28,28,6,MEX,0.1786,1.7865,True,0.3341,0.9971,0.5361
aphrodite,Aphrodite,27,27,6,SJD,0.1852,1.7856,True,0.3339,0.9965,0.5418
apollo,Apollo,27,27,6,HND,0.1852,1.7856,True,0.3339,0.9965,0.5418
hercules,Hercules,27,27,6,ICN,0.1852,1.7856,True,0.3339,0.9965,0.5418
orpheus,Orpheus,27,27,6,YYZ,0.1852,1.7856,True,0.3339,0.9965,0.5418
prometheus,Prometheus,27,27,6,SJD,0.1852,1.7856,True,0.3339,0.9965,0.5418
ares,Ares,21,21,6,MEX,0.1905,1.7815,True,0.3332,0.9943,0.5852
dionysus,Dionysus,21,21,6,LHR,0.1905,1.7815,True,0.3332,0.9943,0.5852
narcissus,Narcissus,21,21,6,LIS,0.1905,1.7815,True,0.3332,0.9943,0.5852
icarus,Icarus,15,15,6,MEX,0.2,1.7716,True,0.3313,0.9888,0.6542
bill-sikes,Bill Sikes,5,5,5,DUB,0.2,1.6094,True,0.301,1.0,1.0
charley-bates,Charley Bates,5,5,5,MAD,0.2,1.6094,True,0.301,1.0,1.0
edwin-leeford,Edwin Leeford,5,5,5,AMS,0.2,1.6094,True,0.301,1.0,1.0
estella-havisham,Estella Havisham,5,5,5,BCN,0.2,1.6094,True,0.301,1.0,1.0
georgia-o-keeffe,Georgia O'Keeffe,5,5,5,MEX,0.2,1.6094,True,0.301,1.0,1.0
harry-maylie,Harry Maylie,5,5,5,LHR,0.2,1.6094,True,0.301,1.0,1.0
jack-dawkins,Jack Dawkins,5,5,5,BCN,0.2,1.6094,True,0.301,1.0,1.0
joe-gargery,Joe Gargery,5,5,5,MAN,0.2,1.6094,True,0.301,1.0,1.0
miss-havisham,Miss Havisham,5,5,5,FCO,0.2,1.6094,True,0.301,1.0,1.0
mr-brownlow,Mr. Brownlow,5,5,5,LHR,0.2,1.6094,True,0.301,1.0,1.0
nancy-sikes,Nancy Sikes,5,5,5,NCE,0.2,1.6094,True,0.301,1.0,1.0
oliver-twist,Oliver Twist,5,5,5,LHR,0.2,1.6094,True,0.301,1.0,1.0
rose-maylie,Rose Maylie,5,5,5,LHR,0.2,1.6094,True,0.301,1.0,1.0
toby-crackit,Toby Crackit,5,5,5,LIS,0.2,1.6094,True,0.301,1.0,1.0
rick-steves,Rick Steves,47,47,6,LHR,0.3404,1.5297,True,0.2861,0.8537,0.3973
lord-rymel,Lord Rymel,18,18,6,SMF,0.3889,1.4594,True,0.2729,0.8145,0.5049
charles-darwin,Charles Darwin,36,36,4,GRU,0.25,1.3863,True,0.2593,1.0,0.3869
clint-barton,Clint Barton,36,36,4,GEG,0.25,1.3863,True,0.2593,1.0,0.3869
logan,Logan,28,28,4,LIR,0.25,1.3863,True,0.2593,1.0,0.416
matt-murdock,Matt Murdock,32,32,4,SJD,0.25,1.3863,True,0.2593,1.0,0.4
nikola-tesla,Nikola Tesla,36,36,4,CUN,0.25,1.3863,True,0.2593,1.0,0.3869
oliver-queen,Oliver Queen,36,36,4,SJD,0.25,1.3863,True,0.2593,1.0,0.3869
pablo-picasso,Pablo Picasso,4,4,4,EWR,0.25,1.3863,True,0.2593,1.0,1.0
stephen-hawking,Stephen Hawking,32,32,4,JFK,0.25,1.3863,True,0.2593,1.0,0.4
stephen-strange,Stephen Strange,32,32,4,SJD,0.25,1.3863,True,0.2593,1.0,0.4
victor-stone,Victor Stone,36,36,4,NAS,0.25,1.3863,True,0.2593,1.0,0.3869
wes-montgomery,Wes Montgomery,16,16,4,HND,0.25,1.3863,True,0.2593,1.0,0.5
thelonious-monk,Thelonious Monk,14,14,4,SYD,0.2857,1.3761,True,0.2573,0.9926,0.5214
billy-batson,Billy Batson,21,21,3,CUN,0.3333,1.0986,True,0.2055,1.0,0.3608
david-chang,David Chang,3,3,3,CMN,0.3333,1.0986,True,0.2055,1.0,1.0
dick-grayson,Dick Grayson,24,24,3,CUN,0.3333,1.0986,True,0.2055,1.0,0.3457
richard-feynman,Richard Feynman,21,21,3,MSY,0.3333,1.0986,True,0.2055,1.0,0.3608
bill-gorton,Bill Gorton,20,20,3,MSP,0.5,1.0397,True,0.1944,0.9464,0.3471
brett-ashley,Brett Ashley,20,20,3,SAV,0.5,1.0397,True,0.1944,0.9464,0.3471
catherine-barkley,Catherine Barkley,20,20,3,GEG,0.5,1.0397,True,0.1944,0.9464,0.3471
jake-barnes,Jake Barnes,20,20,3,ORD,0.5,1.0397,True,0.1944,0.9464,0.3471
krebs,Krebs,20,20,3,ORD,0.5,1.0397,True,0.1944,0.9464,0.3471
manuel-garcia,Manuel Garcia,20,20,3,ELP,0.5,1.0397,True,0.1944,0.9464,0.3471
mike-campbell,Mike Campbell,20,20,3,RIC,0.5,1.0397,True,0.1944,0.9464,0.3471
ole-andreson,Ole Andreson,20,20,3,MSP,0.5,1.0397,True,0.1944,0.9464,0.3471
pedro-romero,Pedro Romero,20,20,3,MIA,0.5,1.0397,True,0.1944,0.9464,0.3471
rinaldi,Rinaldi,20,20,3,BOS,0.5,1.0397,True,0.1944,0.9464,0.3471
robert-cohn,Robert Cohn,20,20,3,ORD,0.5,1.0397,True,0.1944,0.9464,0.3471
calvin,Calvin,6,6,2,JAC,0.5,0.6931,True,0.1296,1.0,0.3869
frederic-henry,Frederic Henry,20,20,2,BZN,0.5,0.6931,True,0.1296,1.0,0.2314
helen-ferguson,Helen Ferguson,20,20,2,TVC,0.5,0.6931,True,0.1296,1.0,0.2314
abel-magwitch,Abel Magwitch,5,5,2,LIS,0.6,0.673,True,0.1259,0.971,0.4182
charlie-brown,Charlie Brown,3,3,2,EGE,0.6667,0.6365,True,0.119,0.9183,0.5794
linus-van-pelt,Linus van Pelt,3,3,2,EGE,0.6667,0.6365,True,0.119,0.9183,0.5794
lucy-van-pelt,Lucy van Pelt,3,3,2,ASE,0.6667,0.6365,True,0.119,0.9183,0.5794
albert-einstein,Albert Einstein,20,20,1,LHR,1.0,0.0,True,0.0,,0.0
alfred-polly,Alfred Polly,5,5,1,PIT,1.0,0.0,True,0.0,,0.0
alfred-d-orsay,Alfred d'Orsay,8,8,1,PIT,1.0,0.0,True,0.0,,0.0
arthur-bedford,Arthur Bedford,5,5,1,BUF,1.0,0.0,True,0.0,,0.0
arthur-curry,Arthur Curry,24,24,1,SRQ,1.0,0.0,True,0.0,,0.0
arthur-kipps,Arthur Kipps,5,5,1,RDU,1.0,0.0,True,0.0,,0.0
barry-allen,Barry Allen,20,20,1,TPA,1.0,0.0,True,0.0,,0.0
bert-raccoon,Bert Raccoon,5,5,1,YYZ,1.0,0.0,True,0.0,,0.0
bill-evans,Bill Evans,10,10,1,AMS,1.0,0.0,True,0.0,,0.0
bruce-banner,Bruce Banner,20,20,1,OGG,1.0,0.0,True,0.0,,0.0
bruce-wayne,Bruce Wayne,16,16,1,MBJ,1.0,0.0,True,0.0,,0.0
charlie-parker,Charlie Parker,8,8,1,DTW,1.0,0.0,True,0.0,,0.0
chet-baker,Chet Baker,53,53,1,JFK,1.0,0.0,True,0.0,,0.0
clark-kent,Clark Kent,20,20,1,CUN,1.0,0.0,True,0.0,,0.0
claude-monet,Claude Monet,16,16,1,CLE,1.0,0.0,True,0.0,,0.0
diana-prince,Diana Prince,18,18,1,SJD,1.0,0.0,True,0.0,,0.0
duke-ellington,Duke Ellington,16,16,1,PDX,1.0,0.0,True,0.0,,0.0
edgar-degas,Edgar Degas,16,16,1,BOS,1.0,0.0,True,0.0,,0.0
edward-prendick,Edward Prendick,5,5,1,BOS,1.0,0.0,True,0.0,,0.0
ella-fitzgerald,Ella Fitzgerald,24,24,1,MCO,1.0,0.0,True,0.0,,0.0
galileo-galilei,Galileo Galilei,24,24,1,MCO,1.0,0.0,True,0.0,,0.0
garfield,Garfield,6,6,1,JAC,1.0,0.0,True,0.0,,0.0
hal-jordan,Hal Jordan,18,18,1,SAN,1.0,0.0,True,0.0,,0.0
helen-walshingham,Helen Walshingham,5,5,1,BOS,1.0,0.0,True,0.0,,0.0
herbert-george-wells,Herbert George Wells,5,5,1,SEA,1.0,0.0,True,0.0,,0.0
hobbes,Hobbes,6,6,1,SLC,1.0,0.0,True,0.0,,0.0
isaac-newton,Isaac Newton,20,20,1,DEN,1.0,0.0,True,0.0,,0.0
jackson-pollock,Jackson Pollock,12,12,1,YYZ,1.0,0.0,True,0.0,,0.0
joseph-cavor,Joseph Cavor,5,5,1,MSP,1.0,0.0,True,0.0,,0.0
louis-pasteur,Louis Pasteur,20,20,1,PBI,1.0,0.0,True,0.0,,0.0
marie-curie,Marie Curie,16,16,1,EZE,1.0,0.0,True,0.0,,0.0
melissa-raccoon,Melissa Raccoon,5,5,1,YYZ,1.0,0.0,True,0.0,,0.0
miriam-polly,Miriam Polly,5,5,1,PIT,1.0,0.0,True,0.0,,0.0
montgomery,Montgomery,5,5,1,MSY,1.0,0.0,True,0.0,,0.0
natasha-romanoff,Natasha Romanoff,16,16,1,MCO,1.0,0.0,True,0.0,,0.0
nick-adams,Nick Adams,25,25,1,TVC,1.0,0.0,True,0.0,,0.0
niels-bohr,Niels Bohr,10,10,1,LIS,1.0,0.0,True,0.0,,0.0
odie,Odie,6,6,1,SLC,1.0,0.0,True,0.0,,0.0
peter-parker,Peter Parker,20,20,1,NRT,1.0,0.0,True,0.0,,0.0
pierre-auguste-renoir,Pierre-Auguste Renoir,24,24,1,SAN,1.0,0.0,True,0.0,,0.0
ralph-raccoon,Ralph Raccoon,5,5,1,YYZ,1.0,0.0,True,0.0,,0.0
sarah-vaughan,Sarah Vaughan,16,16,1,MSY,1.0,0.0,True,0.0,,0.0
snoopy,Snoopy,3,3,1,DEN,1.0,0.0,True,0.0,,0.0
steve-rogers,Steve Rogers,10,10,1,SYD,1.0,0.0,True,0.0,,0.0
thor-odinson,Thor Odinson,18,18,1,PSP,1.0,0.0,True,0.0,,0.0
tony-stark,Tony Stark,18,18,1,GDL,1.0,0.0,True,0.0,,0.0
william-moreau,William Moreau,5,5,1,CHS,1.0,0.0,True,0.0,,0.0
woodstock,Woodstock,3,3,1,DEN,1.0,0.0,True,0.0,,0.0
agatha-christie,Agatha Christie,1,0,0,,,,False,,,
alan-paton,Alan Paton,1,0,0,,,,False,,,
alice-munro,Alice Munro,1,0,0,,,,False,,,
amrita-pritam,Amrita Pritam,1,0,0,,,,False,,,
ana-maria-matute,Ana Maria Matute,1,0,0,,,,False,,,
andre-brink,Andre Brink,1,0,0,,,,False,,,
annie-m-g-schmidt,Annie M. G. Schmidt,1,0,0,,,,False,,,
arthur-yap,Arthur Yap,1,0,0,,,,False,,,
ba-jin,Ba Jin,1,0,0,,,,False,,,
bing-xin,Bing Xin,1,0,0,,,,False,,,
carlos-drummond-de-andrade,Carlos Drummond de Andrade,1,0,0,,,,False,,,
carmen-laforet,Carmen Laforet,1,0,0,,,,False,,,
carmen-martin-gaite,Carmen Martin Gaite,1,0,0,,,,False,,,
carol-shields,Carol Shields,1,0,0,,,,False,,,
charles-dickens,Charles Dickens,1,0,0,,,,False,,,
charlotte-bronte,Charlotte Bronte,1,0,0,,,,False,,,
choi-in-hun,Choi In-hun,1,0,0,,,,False,,,
christina-stead,Christina Stead,1,0,0,,,,False,,,
clarice-lispector,Clarice Lispector,1,0,0,,,,False,,,
colleen-mccullough,Colleen McCullough,1,0,0,,,,False,,,
dante-alighieri,Dante Alighieri,1,0,0,,,,False,,,
daphne-du-maurier,Daphne du Maurier,1,0,0,,,,False,,,
ding-ling,Ding Ling,1,0,0,,,,False,,,
doris-lessing,Doris Lessing,1,0,0,,,,False,,,
edgar-allan-poe,Edgar Allan Poe,1,0,0,,,,False,,,
edith-wharton,Edith Wharton,1,0,0,,,,False,,,
eileen-chang,Eileen Chang,1,0,0,,,,False,,,
elizabeth-jolley,Elizabeth Jolley,1,0,0,,,,False,,,
elsa-morante,Elsa Morante,1,0,0,,,,False,,,
emilia-pardo-bazan,Emilia Pardo Bazan,2,0,0,,,,False,,,
emily-bronte,Emily Bronte,1,0,0,,,,False,,,
emily-dickinson,Emily Dickinson,2,0,0,,,,False,,,
ernest-hemingway,Ernest Hemingway,3,0,0,,,,False,,,
f-scott-fitzgerald,F. Scott Fitzgerald,1,0,0,,,,False,,,
fadwa-tuqan,Fadwa Tuqan,1,0,0,,,,False,,,
fatema-mernissi,Fatema Mernissi,1,0,0,,,,False,,,
frank-sargeson,Frank Sargeson,1,0,0,,,,False,,,
gabrielle-roy,Gabrielle Roy,1,0,0,,,,False,,,
george-eliot,George Eliot,1,0,0,,,,False,,,
george-orwell,George Orwell,1,0,0,,,,False,,,
grazia-deledda,Grazia Deledda,1,0,0,,,,False,,,
han-yong-un,Han Yong-un,1,0,0,,,,False,,,
harper-lee,Harper Lee,1,0,0,,,,False,,,
hella-haasse,Hella Haasse,1,0,0,,,,False,,,
henry-lawson,Henry Lawson,1,0,0,,,,False,,,
heo-nanseolheon,Heo Nanseolheon,1,0,0,,,,False,,,
herman-melville,Herman Melville,1,0,0,,,,False,,,
ho-xuan-huong,Ho Xuan Huong,1,0,0,,,,False,,,
hwang-jini,Hwang Jini,1,0,0,,,,False,,,
hyun-jin-geon,Hyun Jin-geon,1,0,0,,,,False,,,
jack-london,Jack London,1,0,0,,,,False,,,
james-baldwin,James Baldwin,1,0,0,,,,False,,,
jane-austen,Jane Austen,1,0,0,,,,False,,,
jin-yong,Jin Yong,1,0,0,,,,False,,,
joao-guimaraes-rosa,Joao Guimaraes Rosa,1,0,0,,,,False,,,
johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,1,0,0,,,,False,,,
john-steinbeck,John Steinbeck,1,0,0,,,,False,,,
jorge-amado,Jorge Amado,1,0,0,,,,False,,,
kamala-das,Kamala Das,1,0,0,,,,False,,,
kang-kyeong-ae,Kang Kyeong-ae,1,0,0,,,,False,,,
kenzaburo-oe,Kenzaburo Oe,1,0,0,,,,False,,,
kim-dong-ni,Kim Dong-ni,1,0,0,,,,False,,,
kim-myeong-sun,Kim Myeong-sun,1,0,0,,,,False,,,
kim-su-yong,Kim Su-yong,1,0,0,,,,False,,,
kurt-vonnegut,Kurt Vonnegut,1,0,0,,,,False,,,
l-m-montgomery,L. M. Montgomery,1,0,0,,,,False,,,
lao-she,Lao She,1,0,0,,,,False,,,
leonard-cohen,Leonard Cohen,1,0,0,,,,False,,,
lin-hai-yin,Lin Hai-yin,1,0,0,,,,False,,,
lu-xun,Lu Xun,1,0,0,,,,False,,,
machado-de-assis,Machado de Assis,1,0,0,,,,False,,,
mahasweta-devi,Mahasweta Devi,1,0,0,,,,False,,,
margaret-laurence,Margaret Laurence,1,0,0,,,,False,,,
maria-zambrano,Maria Zambrano,1,0,0,,,,False,,,
mark-twain,Mark Twain,1,0,0,,,,False,,,
mary-shelley,Mary Shelley,1,0,0,,,,False,,,
mavis-gallant,Mavis Gallant,1,0,0,,,,False,,,
maya-angelou,Maya Angelou,1,0,0,,,,False,,,
miguel-de-cervantes,Miguel de Cervantes,1,0,0,,,,False,,,
miles-franklin,Miles Franklin,1,0,0,,,,False,,,
mordecai-richler,Mordecai Richler,1,0,0,,,,False,,,
na-hye-sok,Na Hye-sok,1,0,0,,,,False,,,
natalia-ginzburg,Natalia Ginzburg,1,0,0,,,,False,,,
nguyen-du,Nguyen Du,1,0,0,,,,False,,,
nhok-them,Nhok Them,1,0,0,,,,False,,,
nieh-hualing,Nieh Hualing,1,0,0,,,,False,,,
nikos-kazantzakis,Nikos Kazantzakis,1,0,0,,,,False,,,
no-cheon-myeong,No Cheon-myeong,1,0,0,,,,False,,,
oriana-fallaci,Oriana Fallaci,1,0,0,,,,False,,,
ousha-bint-khalifa-al-suwaidi,Ousha bint Khalifa Al Suwaidi,1,0,0,,,,False,,,
p-k-page,P. K. Page,1,0,0,,,,False,,,
park-kyong-ni,Park Kyong-ni,1,0,0,,,,False,,,
park-wan-suh,Park Wan-suh,1,0,0,,,,False,,,
patrick-white,Patrick White,3,0,0,,,,False,,,
pearl-s-buck,Pearl S. Buck,2,0,0,,,,False,,,
pramoedya-ananta-toer,Pramoedya Ananta Toer,1,0,0,,,,False,,,
rabindranath-tagore,Rabindranath Tagore,1,0,0,,,,False,,,
robert-frost,Robert Frost,1,0,0,,,,False,,,
robert-louis-stevenson,Robert Louis Stevenson,1,0,0,,,,False,,,
robertson-davies,Robertson Davies,2,0,0,,,,False,,,
rosalia-de-castro,Rosalia de Castro,1,0,0,,,,False,,,
rosario-castellanos,Rosario Castellanos,1,0,0,,,,False,,,
rudyard-kipling,Rudyard Kipling,1,0,0,,,,False,,,
sanmao,Sanmao,1,0,0,,,,False,,,
saul-bellow,Saul Bellow,1,0,0,,,,False,,,
shen-congwen,Shen Congwen,1,0,0,,,,False,,,
shin-saimdang,Shin Saimdang,1,0,0,,,,False,,,
simone-de-beauvoir,Simone de Beauvoir,1,0,0,,,,False,,,
sinclair-lewis,Sinclair Lewis,1,0,0,,,,False,,,
sor-juana-ines-de-la-cruz,Sor Juana Ines de la Cruz,1,0,0,,,,False,,,
sultan-bin-ali-al-owais,Sultan bin Ali Al Owais,1,0,0,,,,False,,,
thomas-mann,Thomas Mann,1,0,0,,,,False,,,
toni-morrison,Toni Morrison,2,0,0,,,,False,,,
virginia-woolf,Virginia Woolf,1,0,0,,,,False,,,
walt-whitman,Walt Whitman,1,0,0,,,,False,,,
william-faulkner,William Faulkner,2,0,0,,,,False,,,
william-golding,William Golding,1,0,0,,,,False,,,
william-shakespeare,William Shakespeare,1,0,0,,,,False,,,
xiao-hong,Xiao Hong,1,0,0,,,,False,,,
xuan-quynh,Xuan Quynh,1,0,0,,,,False,,,
yasunari-kawabata,Yasunari Kawabata,2,0,0,,,,False,,,
yi-kwang-su,Yi Kwang-su,1,0,0,,,,False,,,
yi-sang,Yi Sang,2,0,0,,,,False,,,
yun-dong-ju,Yun Dong-ju,2,0,0,,,,False,,,
