traveler_id,name,trip_count,trips_with_destination,n_destinations,top_destination,top_destination_share,entropy,entropy_is_informative,norm_global,norm_observed,norm_capacity
margaret-laurence,Margaret Laurence,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
maria-zambrano,Maria Zambrano,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
marie-curie,Marie Curie,16,16,1,South America,1.0,0.0,True,0.0,,0.0
mark-twain,Mark Twain,1,1,1,Eastern Asia,1.0,0.0,False,0.0,,
mary-shelley,Mary Shelley,1,1,1,Northern Europe,1.0,0.0,False,0.0,,
mavis-gallant,Mavis Gallant,1,1,1,Western Europe,1.0,0.0,False,0.0,,
maya-angelou,Maya Angelou,1,1,1,Western Europe,1.0,0.0,False,0.0,,
miguel-de-cervantes,Miguel de Cervantes,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
miles-franklin,Miles Franklin,1,1,1,Australia and New Zealand,1.0,0.0,False,0.0,,
mordecai-richler,Mordecai Richler,1,1,1,Australia and New Zealand,1.0,0.0,False,0.0,,
na-hye-sok,Na Hye-sok,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
natalia-ginzburg,Natalia Ginzburg,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
natasha-romanoff,Natasha Romanoff,16,16,1,Northern America,1.0,0.0,True,0.0,,0.0
nguyen-du,Nguyen Du,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
nhok-them,Nhok Them,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
nieh-hualing,Nieh Hualing,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
niels-bohr,Niels Bohr,10,10,1,Southern Europe,1.0,0.0,True,0.0,,0.0
nikos-kazantzakis,Nikos Kazantzakis,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
no-cheon-myeong,No Cheon-myeong,1,1,1,Eastern Asia,1.0,0.0,False,0.0,,
oriana-fallaci,Oriana Fallaci,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
ousha-bint-khalifa-al-suwaidi,Ousha bint Khalifa Al Suwaidi,1,1,1,Western Asia,1.0,0.0,False,0.0,,
p-k-page,P. K. Page,1,1,1,Northern Africa,1.0,0.0,False,0.0,,
pablo-picasso,Pablo Picasso,4,4,1,Northern America,1.0,0.0,True,0.0,,0.0
park-kyong-ni,Park Kyong-ni,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
park-wan-suh,Park Wan-suh,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
patrick-white,Patrick White,3,3,1,Australia and New Zealand,1.0,0.0,True,0.0,,0.0
pearl-s-buck,Pearl S. Buck,2,2,1,Northern America,1.0,0.0,True,0.0,,0.0
perseus,Perseus,24,24,1,Northern America,1.0,0.0,True,0.0,,0.0
peter-parker,Peter Parker,20,20,1,Eastern Asia,1.0,0.0,True,0.0,,0.0
pierre-auguste-renoir,Pierre-Auguste Renoir,24,24,1,Northern America,1.0,0.0,True,0.0,,0.0
pramoedya-ananta-toer,Pramoedya Ananta Toer,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
rabindranath-tagore,Rabindranath Tagore,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
robert-frost,Robert Frost,1,1,1,Northern America,1.0,0.0,False,0.0,,
robert-louis-stevenson,Robert Louis Stevenson,1,1,1,Northern Europe,1.0,0.0,False,0.0,,
rosalia-de-castro,Rosalia de Castro,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
rosario-castellanos,Rosario Castellanos,1,1,1,Central America,1.0,0.0,False,0.0,,
rudyard-kipling,Rudyard Kipling,1,1,1,Western Europe,1.0,0.0,False,0.0,,
sanmao,Sanmao,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
sarah-vaughan,Sarah Vaughan,16,16,1,Northern America,1.0,0.0,True,0.0,,0.0
saul-bellow,Saul Bellow,1,1,1,Northern America,1.0,0.0,False,0.0,,
shen-congwen,Shen Congwen,1,1,1,South-eastern Asia,1.0,0.0,False,0.0,,
shin-saimdang,Shin Saimdang,1,1,1,Eastern Asia,1.0,0.0,False,0.0,,
simone-de-beauvoir,Simone de Beauvoir,1,1,1,Western Europe,1.0,0.0,False,0.0,,
sinclair-lewis,Sinclair Lewis,1,1,1,Southern Europe,1.0,0.0,False,0.0,,
sor-juana-ines-de-la-cruz,Sor Juana Ines de la Cruz,1,1,1,Central America,1.0,0.0,False,0.0,,
steve-rogers,Steve Rogers,10,10,1,Australia and New Zealand,1.0,0.0,True,0.0,,0.0
sultan-bin-ali-al-owais,Sultan bin Ali Al Owais,1,1,1,Western Asia,1.0,0.0,False,0.0,,
thelonious-monk,Thelonious Monk,14,14,1,Australia and New Zealand,1.0,0.0,True,0.0,,0.0
thomas-mann,Thomas Mann,1,1,1,Western Europe,1.0,0.0,False,0.0,,
thor-odinson,Thor Odinson,18,18,1,Northern America,1.0,0.0,True,0.0,,0.0
toni-morrison,Toni Morrison,2,2,1,Eastern Asia,1.0,0.0,True,0.0,,0.0
tony-stark,Tony Stark,18,18,1,Central America,1.0,0.0,True,0.0,,0.0
virginia-woolf,Virginia Woolf,1,1,1,Northern Europe,1.0,0.0,False,0.0,,
walt-whitman,Walt Whitman,1,1,1,Northern America,1.0,0.0,False,0.0,,
wes-montgomery,Wes Montgomery,16,16,1,Eastern Asia,1.0,0.0,True,0.0,,0.0
william-faulkner,William Faulkner,2,2,1,Western Europe,1.0,0.0,True,0.0,,0.0
william-golding,William Golding,1,1,1,Northern Europe,1.0,0.0,False,0.0,,
william-shakespeare,William Shakespeare,1,1,1,Northern Europe,1.0,0.0,False,0.0,,
xiao-hong,Xiao Hong,1,1,1,Eastern Asia,1.0,0.0,False,0.0,,
xuan-quynh,Xuan Quynh,1,1,1,Western Europe,1.0,0.0,False,0.0,,
yasunari-kawabata,Yasunari Kawabata,2,2,1,Eastern Asia,1.0,0.0,True,0.0,,0.0
yi-kwang-su,Yi Kwang-su,1,1,1,Eastern Asia,1.0,0.0,False,0.0,,
